initial_claims,continued_claims,week_ending,Appalachia
77,636,2020-01-04,Yes
67,629,2020-01-11,Yes
69,598,2020-01-18,Yes
68,579,2020-02-01,Yes
52,553,2020-02-08,Yes
62,553,2020-02-15,Yes
54,574,2020-02-22,Yes
71,557,2020-02-29,Yes
61,596,2020-03-07,Yes
65,543,2020-03-14,Yes
1533,562,2020-03-21,Yes
2372,1699,2020-03-28,Yes
1697,3810,2020-04-04,Yes
1122,5176,2020-04-11,Yes
780,5708,2020-04-18,Yes
660,5987,2020-04-25,Yes
394,5686,2020-05-02,Yes
416,5444,2020-05-09,Yes
384,5095,2020-05-16,Yes
275,4565,2020-05-23,Yes
267,4038,2020-05-30,Yes
259,3582,2020-06-06,Yes
207,3313,2020-06-13,Yes
205,3093,2020-06-20,Yes
226,2808,2020-06-27,Yes
223,2741,2020-07-04,Yes
232,2695,2020-07-11,Yes
185,2714,2020-07-18,Yes
232,2803,2020-07-25,Yes
176,2612,2020-08-01,Yes
150,2426,2020-08-08,Yes
166,2388,2020-08-15,Yes
125,2297,2020-08-22,Yes
113,2190,2020-08-29,Yes
125,2114,2020-09-05,Yes
116,2051,2020-09-12,Yes
127,2120,2020-09-19,Yes
126,1970,2020-09-26,Yes
141,1472,2020-10-03,Yes
117,1464,2020-10-10,Yes
111,1220,2020-10-17,Yes
113,1123,2020-10-24,Yes
127,1111,2020-10-31,Yes
166,1044,2020-11-07,Yes
127,1111,2020-11-14,Yes
215,1017,2020-11-21,Yes
203,1084,2020-11-28,Yes
285,1196,2020-12-05,Yes
298,1179,2020-12-12,Yes
233,1165,2020-12-19,Yes
179,1135,2020-12-26,Yes
217,1263,2021-01-01,Yes
