initial_claims,continued_claims,week_ending,Appalachia
135,737,2020-01-04,No
89,761,2020-01-11,No
135,745,2020-01-18,No
58,785,2020-02-01,No
44,685,2020-02-08,No
70,689,2020-02-15,No
45,655,2020-02-22,No
54,666,2020-02-29,No
57,676,2020-03-07,No
48,633,2020-03-14,No
1795,616,2020-03-21,No
3696,2037,2020-03-28,No
1992,5514,2020-04-04,No
1293,7122,2020-04-11,No
764,7635,2020-04-18,No
593,8073,2020-04-25,No
492,7936,2020-05-02,No
373,7638,2020-05-09,No
357,7315,2020-05-16,No
267,6540,2020-05-23,No
216,5486,2020-05-30,No
262,4871,2020-06-06,No
203,4262,2020-06-13,No
217,3835,2020-06-20,No
212,3496,2020-06-27,No
334,3193,2020-07-04,No
401,3399,2020-07-11,No
282,3065,2020-07-18,No
297,3120,2020-07-25,No
224,2903,2020-08-01,No
169,2689,2020-08-08,No
147,2427,2020-08-15,No
173,2261,2020-08-22,No
170,2302,2020-08-29,No
143,2202,2020-09-05,No
142,2123,2020-09-12,No
172,2148,2020-09-19,No
179,2152,2020-09-26,No
165,1619,2020-10-03,No
145,1382,2020-10-10,No
142,1280,2020-10-17,No
188,1235,2020-10-24,No
277,1330,2020-10-31,No
234,1257,2020-11-07,No
277,1330,2020-11-14,No
278,1244,2020-11-21,No
279,1220,2020-11-28,No
327,1335,2020-12-05,No
305,1430,2020-12-12,No
255,1425,2020-12-19,No
271,1458,2020-12-26,No
304,1587,2021-01-01,No
