initial_claims,continued_claims,week_ending,Appalachia
68,499,2020-01-04,Yes
49,550,2020-01-11,Yes
36,515,2020-01-18,Yes
42,525,2020-02-01,Yes
24,517,2020-02-08,Yes
35,510,2020-02-15,Yes
23,497,2020-02-22,Yes
32,488,2020-02-29,Yes
29,471,2020-03-07,Yes
25,455,2020-03-14,Yes
538,432,2020-03-21,Yes
710,831,2020-03-28,Yes
643,1418,2020-04-04,Yes
425,1901,2020-04-11,Yes
270,2064,2020-04-18,Yes
241,2193,2020-04-25,Yes
204,2041,2020-05-02,Yes
198,2134,2020-05-09,Yes
142,1932,2020-05-16,Yes
139,1864,2020-05-23,Yes
167,1686,2020-05-30,Yes
143,1591,2020-06-06,Yes
99,1458,2020-06-13,Yes
76,1348,2020-06-20,Yes
75,1210,2020-06-27,Yes
115,1223,2020-07-04,Yes
120,1178,2020-07-11,Yes
77,1155,2020-07-18,Yes
69,1138,2020-07-25,Yes
75,1089,2020-08-01,Yes
52,987,2020-08-08,Yes
65,1025,2020-08-15,Yes
57,894,2020-08-22,Yes
47,927,2020-08-29,Yes
43,846,2020-09-05,Yes
34,829,2020-09-12,Yes
43,784,2020-09-19,Yes
48,814,2020-09-26,Yes
61,566,2020-10-03,Yes
50,537,2020-10-10,Yes
63,445,2020-10-17,Yes
66,434,2020-10-24,Yes
87,423,2020-10-31,Yes
96,439,2020-11-07,Yes
87,423,2020-11-14,Yes
103,509,2020-11-21,Yes
107,507,2020-11-28,Yes
147,549,2020-12-05,Yes
131,567,2020-12-12,Yes
95,556,2020-12-19,Yes
116,576,2020-12-26,Yes
103,669,2021-01-02,Yes
125,777,2021-01-09,Yes
121,801,2021-01-16,Yes
134,783,2021-01-23,Yes
122,641,2021-01-30,Yes
326,632,2021-02-06,Yes
241,662,2021-02-13,Yes
240,695,2021-02-20,Yes
164,691,2021-02-27,Yes
148,633,2021-03-06,Yes
140,619,2021-03-13,Yes
127,587,2021-03-20,Yes
109,567,2021-03-27,Yes
80,518,2021-04-03,Yes
40,503,2021-04-10,Yes
