initial_claims,continued_claims,week_ending,Appalachia
371,2712,2020-01-04,No
415,2900,2020-01-11,No
243,2568,2020-01-18,No
286,2462,2020-02-01,No
243,2489,2020-02-08,No
255,2490,2020-02-15,No
195,2431,2020-02-22,No
182,2469,2020-02-29,No
225,2425,2020-03-07,No
177,2362,2020-03-14,No
6254,2335,2020-03-21,No
8638,7027,2020-03-28,No
5967,14720,2020-04-04,No
3939,19363,2020-04-11,No
2671,21395,2020-04-18,No
2337,22484,2020-04-25,No
1756,22009,2020-05-02,No
1475,21449,2020-05-09,No
1368,20518,2020-05-16,No
1093,18714,2020-05-23,No
931,16086,2020-05-30,No
952,15000,2020-06-06,No
762,13766,2020-06-13,No
845,12828,2020-06-20,No
983,12476,2020-06-27,No
935,12164,2020-07-04,No
1213,12112,2020-07-11,No
986,12376,2020-07-18,No
818,12664,2020-07-25,No
659,11547,2020-08-01,No
543,10806,2020-08-08,No
536,10117,2020-08-15,No
576,9897,2020-08-22,No
545,9495,2020-08-29,No
496,9501,2020-09-05,No
427,8910,2020-09-12,No
499,9133,2020-09-19,No
508,8603,2020-09-26,No
501,6430,2020-10-03,No
564,5692,2020-10-10,No
406,5172,2020-10-17,No
541,4607,2020-10-24,No
656,4554,2020-10-31,No
560,4138,2020-11-07,No
656,4554,2020-11-14,No
715,4151,2020-11-21,No
773,4030,2020-11-28,No
1118,4460,2020-12-05,No
1032,4571,2020-12-12,No
768,4552,2020-12-19,No
890,4645,2020-12-26,No
1006,5417,2021-01-01,No
