initial_claims,continued_claims,week_ending,Appalachia
432,3229,2020-01-04,No
432,3363,2020-01-11,No
361,3335,2020-01-18,No
315,3364,2020-02-01,No
284,3351,2020-02-08,No
295,3308,2020-02-15,No
282,3303,2020-02-22,No
314,3310,2020-02-29,No
311,3316,2020-03-07,No
358,3341,2020-03-14,No
10075,3351,2020-03-21,No
11647,10913,2020-03-28,No
10696,20626,2020-04-04,No
6957,28578,2020-04-11,No
5054,32770,2020-04-18,No
4485,35480,2020-04-25,No
2906,34631,2020-05-02,No
2262,33649,2020-05-09,No
2089,31392,2020-05-16,No
1918,28619,2020-05-23,No
1584,25988,2020-05-30,No
1881,24725,2020-06-06,No
1666,23542,2020-06-13,No
1672,22677,2020-06-20,No
1812,22111,2020-06-27,No
1533,21582,2020-07-04,No
1470,21183,2020-07-11,No
1394,20714,2020-07-18,No
1389,20951,2020-07-25,No
1194,20049,2020-08-01,No
998,18501,2020-08-08,No
994,17968,2020-08-15,No
915,17051,2020-08-22,No
789,16536,2020-08-29,No
818,15790,2020-09-05,No
657,15124,2020-09-12,No
766,15104,2020-09-19,No
770,14587,2020-09-26,No
815,11047,2020-10-03,No
878,9700,2020-10-10,No
698,8510,2020-10-17,No
713,7860,2020-10-24,No
934,7670,2020-10-31,No
1059,6801,2020-11-07,No
934,7670,2020-11-14,No
1280,6934,2020-11-21,No
1154,6791,2020-11-28,No
1747,7181,2020-12-05,No
1797,7432,2020-12-12,No
1421,7452,2020-12-19,No
1245,7379,2020-12-26,No
1304,8238,2021-01-01,No
