initial_claims,continued_claims,week_ending,Appalachia
22,168,2020-01-04,No
22,146,2020-01-11,No
17,141,2020-01-18,No
19,132,2020-02-01,No
13,130,2020-02-08,No
12,141,2020-02-15,No
16,143,2020-02-22,No
11,137,2020-02-29,No
9,139,2020-03-07,No
5,133,2020-03-14,No
231,123,2020-03-21,No
880,286,2020-03-28,No
524,1058,2020-04-04,No
335,1479,2020-04-11,No
222,1684,2020-04-18,No
178,1753,2020-04-25,No
122,1599,2020-05-02,No
226,1574,2020-05-09,No
122,1835,2020-05-16,No
157,1344,2020-05-23,No
138,1695,2020-05-30,No
83,1101,2020-06-06,No
100,1020,2020-06-13,No
158,1428,2020-06-20,No
88,739,2020-06-27,No
100,710,2020-07-04,No
119,781,2020-07-11,No
102,1167,2020-07-18,No
78,708,2020-07-25,No
70,636,2020-08-01,No
42,521,2020-08-08,No
36,518,2020-08-15,No
42,454,2020-08-22,No
34,437,2020-08-29,No
36,400,2020-09-05,No
41,394,2020-09-12,No
54,392,2020-09-19,No
50,405,2020-09-26,No
51,266,2020-10-03,No
68,251,2020-10-10,No
58,224,2020-10-17,No
61,218,2020-10-24,No
86,231,2020-10-31,No
146,203,2020-11-07,No
86,231,2020-11-14,No
110,261,2020-11-21,No
105,250,2020-11-28,No
101,226,2020-12-05,No
108,224,2020-12-12,No
93,227,2020-12-19,No
89,191,2020-12-26,No
112,243,2021-01-01,No
