initial_claims,continued_claims,week_ending,Appalachia
58,317,2020-01-04,Yes
36,362,2020-01-11,Yes
26,346,2020-01-18,Yes
19,317,2020-02-01,Yes
33,322,2020-02-08,Yes
38,320,2020-02-15,Yes
32,325,2020-02-22,Yes
24,315,2020-02-29,Yes
17,331,2020-03-07,Yes
11,295,2020-03-14,Yes
201,285,2020-03-21,Yes
338,432,2020-03-28,Yes
355,718,2020-04-04,Yes
390,965,2020-04-11,Yes
186,1264,2020-04-18,Yes
131,1322,2020-04-25,Yes
110,1283,2020-05-02,Yes
64,1225,2020-05-09,Yes
62,1152,2020-05-16,Yes
83,963,2020-05-23,Yes
56,824,2020-05-30,Yes
50,749,2020-06-06,Yes
37,694,2020-06-13,Yes
50,671,2020-06-20,Yes
42,640,2020-06-27,Yes
49,600,2020-07-04,Yes
69,633,2020-07-11,Yes
49,637,2020-07-18,Yes
34,604,2020-07-25,Yes
39,601,2020-08-01,Yes
29,531,2020-08-08,Yes
30,575,2020-08-15,Yes
23,499,2020-08-22,Yes
30,509,2020-08-29,Yes
37,503,2020-09-05,Yes
28,489,2020-09-12,Yes
22,482,2020-09-19,Yes
24,443,2020-09-26,Yes
20,329,2020-10-03,Yes
26,294,2020-10-10,Yes
32,274,2020-10-17,Yes
39,262,2020-10-24,Yes
35,234,2020-10-31,Yes
69,243,2020-11-07,Yes
35,234,2020-11-14,Yes
78,295,2020-11-21,Yes
71,288,2020-11-28,Yes
71,316,2020-12-05,Yes
71,342,2020-12-12,Yes
65,327,2020-12-19,Yes
103,380,2020-12-26,Yes
97,435,2021-01-02,Yes
84,535,2021-01-09,Yes
53,531,2021-01-16,Yes
97,522,2021-01-23,Yes
