initial_claims,continued_claims,week_ending,Appalachia
53,367,2020-01-04,No
50,369,2020-01-11,No
34,378,2020-01-18,No
37,356,2020-02-01,No
34,354,2020-02-08,No
35,351,2020-02-15,No
31,344,2020-02-22,No
27,347,2020-02-29,No
21,346,2020-03-07,No
18,357,2020-03-14,No
693,321,2020-03-21,No
1070,827,2020-03-28,No
775,1765,2020-04-04,No
554,2311,2020-04-11,No
349,2538,2020-04-18,No
262,2644,2020-04-25,No
242,2539,2020-05-02,No
194,2437,2020-05-09,No
139,2225,2020-05-16,No
134,1957,2020-05-23,No
106,1815,2020-05-30,No
74,1557,2020-06-06,No
85,1507,2020-06-13,No
73,1298,2020-06-20,No
94,1238,2020-06-27,No
102,1149,2020-07-04,No
193,1222,2020-07-11,No
86,1258,2020-07-18,No
83,1178,2020-07-25,No
93,1150,2020-08-01,No
73,1014,2020-08-08,No
58,967,2020-08-15,No
55,935,2020-08-22,No
59,861,2020-08-29,No
56,807,2020-09-05,No
70,783,2020-09-12,No
53,765,2020-09-19,No
62,733,2020-09-26,No
60,578,2020-10-03,No
76,481,2020-10-10,No
80,464,2020-10-17,No
84,424,2020-10-24,No
85,449,2020-10-31,No
98,467,2020-11-07,No
85,449,2020-11-14,No
121,504,2020-11-21,No
162,475,2020-11-28,No
170,573,2020-12-05,No
112,631,2020-12-12,No
134,613,2020-12-19,No
126,628,2020-12-26,No
137,728,2021-01-02,No
176,872,2021-01-09,No
136,837,2021-01-16,No
195,792,2021-01-23,No
155,694,2021-01-30,No
447,693,2021-02-06,No
332,733,2021-02-13,No
229,778,2021-02-20,No
214,770,2021-02-27,No
218,716,2021-03-06,No
146,672,2021-03-13,No
132,631,2021-03-20,No
115,594,2021-03-27,No
106,551,2021-04-03,No
54,498,2021-04-10,No
