initial_claims,continued_claims,week_ending,Appalachia
153,1089,2020-01-04,Yes
123,1155,2020-01-11,Yes
102,983,2020-01-18,Yes
79,997,2020-02-01,Yes
108,1001,2020-02-08,Yes
82,1030,2020-02-15,Yes
96,1020,2020-02-22,Yes
82,992,2020-02-29,Yes
90,979,2020-03-07,Yes
111,941,2020-03-14,Yes
3198,930,2020-03-21,Yes
3945,3276,2020-03-28,Yes
3456,6651,2020-04-04,Yes
2497,8985,2020-04-11,Yes
1687,10682,2020-04-18,Yes
1317,11303,2020-04-25,Yes
857,11037,2020-05-02,Yes
876,10898,2020-05-09,Yes
646,10221,2020-05-16,Yes
487,9365,2020-05-23,Yes
434,8082,2020-05-30,Yes
422,7614,2020-06-06,Yes
433,7028,2020-06-13,Yes
422,6722,2020-06-20,Yes
377,6313,2020-06-27,Yes
407,6128,2020-07-04,Yes
426,6031,2020-07-11,Yes
375,5869,2020-07-18,Yes
344,5923,2020-07-25,Yes
340,5694,2020-08-01,Yes
260,5200,2020-08-08,Yes
265,5174,2020-08-15,Yes
248,4864,2020-08-22,Yes
222,4723,2020-08-29,Yes
202,4401,2020-09-05,Yes
174,4150,2020-09-12,Yes
189,4147,2020-09-19,Yes
184,3911,2020-09-26,Yes
212,3045,2020-10-03,Yes
255,2594,2020-10-10,Yes
201,2288,2020-10-17,Yes
225,2109,2020-10-24,Yes
266,1989,2020-10-31,Yes
351,1885,2020-11-07,Yes
266,1989,2020-11-14,Yes
381,1870,2020-11-21,Yes
344,1817,2020-11-28,Yes
415,1894,2020-12-05,Yes
534,1908,2020-12-12,Yes
423,1999,2020-12-19,Yes
615,1977,2020-12-26,Yes
414,2525,2021-01-02,Yes
563,3143,2021-01-09,Yes
636,2914,2021-01-16,Yes
693,2916,2021-01-23,Yes
