initial_claims,continued_claims,week_ending,Appalachia
66,265,2020-01-04,No
38,283,2020-01-11,No
29,251,2020-01-18,No
22,254,2020-02-01,No
24,252,2020-02-08,No
24,233,2020-02-15,No
17,242,2020-02-22,No
28,236,2020-02-29,No
27,246,2020-03-07,No
24,223,2020-03-14,No
775,249,2020-03-21,No
1789,792,2020-03-28,No
926,2491,2020-04-04,No
652,3206,2020-04-11,No
448,3495,2020-04-18,No
331,3616,2020-04-25,No
245,3618,2020-05-02,No
204,3554,2020-05-09,No
151,3287,2020-05-16,No
152,2925,2020-05-23,No
125,2564,2020-05-30,No
112,2243,2020-06-06,No
116,1888,2020-06-13,No
90,1701,2020-06-20,No
124,1502,2020-06-27,No
165,1408,2020-07-04,No
293,1529,2020-07-11,No
109,1464,2020-07-18,No
88,1387,2020-07-25,No
101,1213,2020-08-01,No
53,1163,2020-08-08,No
76,1075,2020-08-15,No
53,1101,2020-08-22,No
80,963,2020-08-29,No
67,955,2020-09-05,No
44,946,2020-09-12,No
38,914,2020-09-19,No
52,910,2020-09-26,No
36,626,2020-10-03,No
77,533,2020-10-10,No
57,503,2020-10-17,No
54,446,2020-10-24,No
99,499,2020-10-31,No
95,437,2020-11-07,No
99,499,2020-11-14,No
96,405,2020-11-21,No
79,438,2020-11-28,No
152,430,2020-12-05,No
132,502,2020-12-12,No
111,461,2020-12-19,No
76,435,2020-12-26,No
113,502,2021-01-02,No
140,663,2021-01-09,No
128,641,2021-01-16,No
167,632,2021-01-23,No
