initial_claims,continued_claims,week_ending,Appalachia
53,322,2020-01-04,Yes
39,299,2020-01-11,Yes
15,264,2020-01-18,Yes
13,212,2020-02-01,Yes
17,196,2020-02-08,Yes
23,209,2020-02-15,Yes
15,219,2020-02-22,Yes
14,208,2020-02-29,Yes
21,210,2020-03-07,Yes
22,198,2020-03-14,Yes
258,208,2020-03-21,Yes
413,396,2020-03-28,Yes
334,749,2020-04-04,Yes
194,968,2020-04-11,Yes
141,1051,2020-04-18,Yes
130,1104,2020-04-25,Yes
62,1043,2020-05-02,Yes
57,965,2020-05-09,Yes
57,877,2020-05-16,Yes
47,839,2020-05-23,Yes
50,736,2020-05-30,Yes
43,734,2020-06-06,Yes
43,639,2020-06-13,Yes
40,642,2020-06-20,Yes
43,584,2020-06-27,Yes
38,587,2020-07-04,Yes
46,554,2020-07-11,Yes
42,573,2020-07-18,Yes
36,553,2020-07-25,Yes
44,534,2020-08-01,Yes
33,495,2020-08-08,Yes
33,542,2020-08-15,Yes
31,449,2020-08-22,Yes
37,443,2020-08-29,Yes
36,436,2020-09-05,Yes
42,425,2020-09-12,Yes
38,430,2020-09-19,Yes
26,404,2020-09-26,Yes
31,301,2020-10-03,Yes
30,259,2020-10-10,Yes
32,221,2020-10-17,Yes
35,205,2020-10-24,Yes
43,227,2020-10-31,Yes
45,201,2020-11-07,Yes
43,227,2020-11-14,Yes
65,235,2020-11-21,Yes
80,250,2020-11-28,Yes
66,289,2020-12-05,Yes
83,284,2020-12-12,Yes
74,300,2020-12-19,Yes
69,304,2020-12-26,Yes
54,340,2021-01-02,Yes
76,389,2021-01-09,Yes
81,391,2021-01-16,Yes
128,415,2021-01-23,Yes
76,412,2021-01-30,Yes
245,351,2021-02-06,Yes
250,394,2021-02-13,Yes
203,382,2021-02-20,Yes
243,405,2021-02-27,Yes
238,360,2021-03-06,Yes
156,375,2021-03-13,Yes
147,406,2021-03-20,Yes
82,331,2021-03-27,Yes
66,299,2021-04-03,Yes
84,281,2021-04-10,Yes
