initial_claims,continued_claims,week_ending,Appalachia
94,583,2020-01-04,No
66,607,2020-01-11,No
54,591,2020-01-18,No
42,565,2020-02-01,No
50,519,2020-02-08,No
51,563,2020-02-15,No
35,558,2020-02-22,No
48,526,2020-02-29,No
65,541,2020-03-07,No
58,513,2020-03-14,No
2533,537,2020-03-21,No
3122,2359,2020-03-28,No
2576,4979,2020-04-04,No
1800,6939,2020-04-11,No
1138,7957,2020-04-18,No
1042,8540,2020-04-25,No
716,8258,2020-05-02,No
569,7958,2020-05-09,No
505,7445,2020-05-16,No
432,6541,2020-05-23,No
368,5772,2020-05-30,No
335,5360,2020-06-06,No
321,5001,2020-06-13,No
299,4666,2020-06-20,No
345,4440,2020-06-27,No
290,4246,2020-07-04,No
340,4207,2020-07-11,No
287,4233,2020-07-18,No
263,4287,2020-07-25,No
242,4071,2020-08-01,No
198,3741,2020-08-08,No
182,3589,2020-08-15,No
151,3361,2020-08-22,No
156,3191,2020-08-29,No
169,3061,2020-09-05,No
157,2968,2020-09-12,No
158,2882,2020-09-19,No
170,2834,2020-09-26,No
194,2145,2020-10-03,No
172,1936,2020-10-10,No
172,1682,2020-10-17,No
164,1521,2020-10-24,No
208,1530,2020-10-31,No
241,1309,2020-11-07,No
208,1530,2020-11-14,No
296,1456,2020-11-21,No
295,1306,2020-11-28,No
385,1415,2020-12-05,No
413,1390,2020-12-12,No
315,1517,2020-12-19,No
264,1452,2020-12-26,No
274,1720,2021-01-02,No
315,1941,2021-01-09,No
493,1952,2021-01-16,No
652,1923,2021-01-23,No
569,1501,2021-01-30,No
1905,1577,2021-02-06,No
2363,1686,2021-02-13,No
1493,1934,2021-02-20,No
2186,1975,2021-02-27,No
2562,1773,2021-03-06,No
1651,2029,2021-03-13,No
1224,2240,2021-03-20,No
837,2111,2021-03-27,No
692,1601,2021-04-03,No
284,1446,2021-04-10,No
