initial_claims,continued_claims,week_ending,Appalachia
22,142,2020-01-04,No
17,174,2020-01-11,No
16,138,2020-01-18,No
13,125,2020-02-01,No
17,139,2020-02-08,No
11,124,2020-02-15,No
15,147,2020-02-22,No
12,128,2020-02-29,No
15,153,2020-03-07,No
13,139,2020-03-14,No
321,141,2020-03-21,No
854,370,2020-03-28,No
719,1158,2020-04-04,No
568,1750,2020-04-11,No
459,2174,2020-04-18,No
317,2468,2020-04-25,No
167,2619,2020-05-02,No
157,2540,2020-05-09,No
129,2500,2020-05-16,No
115,1978,2020-05-23,No
108,1537,2020-05-30,No
87,1338,2020-06-06,No
79,1158,2020-06-13,No
88,1032,2020-06-20,No
65,872,2020-06-27,No
109,850,2020-07-04,No
81,850,2020-07-11,No
67,809,2020-07-18,No
48,802,2020-07-25,No
52,728,2020-08-01,No
44,703,2020-08-08,No
44,637,2020-08-15,No
38,630,2020-08-22,No
30,552,2020-08-29,No
28,534,2020-09-05,No
25,514,2020-09-12,No
38,523,2020-09-19,No
34,481,2020-09-26,No
24,361,2020-10-03,No
33,358,2020-10-10,No
34,293,2020-10-17,No
41,308,2020-10-24,No
51,268,2020-10-31,No
62,260,2020-11-07,No
51,268,2020-11-14,No
74,271,2020-11-21,No
63,281,2020-11-28,No
94,296,2020-12-05,No
95,320,2020-12-12,No
71,323,2020-12-19,No
52,326,2020-12-26,No
56,364,2021-01-02,No
83,413,2021-01-09,No
106,402,2021-01-16,No
105,396,2021-01-23,No
116,318,2021-01-30,No
317,354,2021-02-06,No
194,357,2021-02-13,No
145,410,2021-02-20,No
129,358,2021-02-27,No
97,337,2021-03-06,No
157,334,2021-03-13,No
88,338,2021-03-20,No
113,324,2021-03-27,No
115,336,2021-04-03,No
76,355,2021-04-10,No
69,290,2021-04-17,No
65,314,2021-04-24,No
41,284,2021-05-01,No
41,299,2021-05-08,No
45,241,2021-05-15,No
48,226,2021-05-22,No
47,264,2021-05-29,No
43,237,2021-06-05,No
48,257,2021-06-12,No
