initial_claims,continued_claims,week_ending,Appalachia
27,151,2020-01-04,Yes
17,172,2020-01-11,Yes
15,152,2020-01-18,Yes
9,150,2020-02-01,Yes
8,155,2020-02-08,Yes
8,141,2020-02-15,Yes
11,146,2020-02-22,Yes
15,148,2020-02-29,Yes
21,149,2020-03-07,Yes
16,148,2020-03-14,Yes
156,158,2020-03-21,Yes
233,267,2020-03-28,Yes
175,472,2020-04-04,Yes
121,592,2020-04-11,Yes
99,649,2020-04-18,Yes
94,712,2020-04-25,Yes
68,678,2020-05-02,Yes
56,666,2020-05-09,Yes
51,649,2020-05-16,Yes
48,618,2020-05-23,Yes
34,565,2020-05-30,Yes
34,552,2020-06-06,Yes
27,508,2020-06-13,Yes
22,474,2020-06-20,Yes
37,446,2020-06-27,Yes
36,454,2020-07-04,Yes
30,431,2020-07-11,Yes
33,429,2020-07-18,Yes
30,467,2020-07-25,Yes
19,460,2020-08-01,Yes
25,411,2020-08-08,Yes
19,401,2020-08-15,Yes
13,385,2020-08-22,Yes
18,396,2020-08-29,Yes
20,336,2020-09-05,Yes
26,365,2020-09-12,Yes
45,324,2020-09-19,Yes
32,357,2020-09-26,Yes
24,260,2020-10-03,Yes
16,225,2020-10-10,Yes
21,205,2020-10-17,Yes
17,197,2020-10-24,Yes
15,202,2020-10-31,Yes
34,208,2020-11-07,Yes
15,202,2020-11-14,Yes
32,209,2020-11-21,Yes
36,192,2020-11-28,Yes
38,211,2020-12-05,Yes
41,263,2020-12-12,Yes
63,206,2020-12-19,Yes
46,243,2020-12-26,Yes
31,262,2021-01-02,Yes
43,306,2021-01-09,Yes
40,272,2021-01-16,Yes
61,287,2021-01-23,Yes
38,245,2021-01-30,Yes
100,236,2021-02-06,Yes
96,238,2021-02-13,Yes
73,248,2021-02-20,Yes
58,239,2021-02-27,Yes
41,234,2021-03-06,Yes
49,201,2021-03-13,Yes
61,201,2021-03-20,Yes
22,168,2021-03-27,Yes
38,152,2021-04-03,Yes
15,150,2021-04-10,Yes
17,145,2021-04-17,Yes
14,124,2021-04-24,Yes
12,126,2021-05-01,Yes
17,113,2021-05-08,Yes
13,121,2021-05-15,Yes
15,90,2021-05-22,Yes
26,105,2021-05-29,Yes
30,97,2021-06-05,Yes
24,106,2021-06-12,Yes
