initial_claims,continued_claims,week_ending,Appalachia
40,308,2020-01-04,Yes
32,315,2020-01-11,Yes
20,322,2020-01-18,Yes
18,298,2020-02-01,Yes
29,280,2020-02-08,Yes
28,293,2020-02-15,Yes
24,285,2020-02-22,Yes
18,306,2020-02-29,Yes
20,290,2020-03-07,Yes
24,291,2020-03-14,Yes
474,280,2020-03-21,Yes
928,641,2020-03-28,Yes
728,1487,2020-04-04,Yes
770,2059,2020-04-11,Yes
378,2587,2020-04-18,Yes
272,2776,2020-04-25,Yes
165,2704,2020-05-02,Yes
147,2682,2020-05-09,Yes
105,2410,2020-05-16,Yes
96,1943,2020-05-23,Yes
124,1697,2020-05-30,Yes
71,1523,2020-06-06,Yes
79,1323,2020-06-13,Yes
97,1188,2020-06-20,Yes
72,1080,2020-06-27,Yes
101,1101,2020-07-04,Yes
86,1080,2020-07-11,Yes
77,1049,2020-07-18,Yes
55,1040,2020-07-25,Yes
59,970,2020-08-01,Yes
47,920,2020-08-08,Yes
58,867,2020-08-15,Yes
48,876,2020-08-22,Yes
35,802,2020-08-29,Yes
37,772,2020-09-05,Yes
39,733,2020-09-12,Yes
51,752,2020-09-19,Yes
28,692,2020-09-26,Yes
48,501,2020-10-03,Yes
50,493,2020-10-10,Yes
44,408,2020-10-17,Yes
49,386,2020-10-24,Yes
54,363,2020-10-31,Yes
65,374,2020-11-07,Yes
54,363,2020-11-14,Yes
82,388,2020-11-21,Yes
81,438,2020-11-28,Yes
88,423,2020-12-05,Yes
96,474,2020-12-12,Yes
90,425,2020-12-19,Yes
88,487,2020-12-26,Yes
82,517,2021-01-01,Yes
