initial_claims,continued_claims,week_ending,Appalachia
39,257,2020-01-04,Yes
33,280,2020-01-11,Yes
12,251,2020-01-18,Yes
29,244,2020-02-01,Yes
20,235,2020-02-08,Yes
15,243,2020-02-15,Yes
22,218,2020-02-22,Yes
14,235,2020-02-29,Yes
11,216,2020-03-07,Yes
11,216,2020-03-14,Yes
345,193,2020-03-21,Yes
634,467,2020-03-28,Yes
558,1001,2020-04-04,Yes
292,1441,2020-04-11,Yes
239,1562,2020-04-18,Yes
201,1651,2020-04-25,Yes
144,1692,2020-05-02,Yes
75,1590,2020-05-09,Yes
86,1417,2020-05-16,Yes
71,1211,2020-05-23,Yes
72,1054,2020-05-30,Yes
55,927,2020-06-06,Yes
50,797,2020-06-13,Yes
41,803,2020-06-20,Yes
36,687,2020-06-27,Yes
34,657,2020-07-04,Yes
45,628,2020-07-11,Yes
53,627,2020-07-18,Yes
41,622,2020-07-25,Yes
33,584,2020-08-01,Yes
33,579,2020-08-08,Yes
30,570,2020-08-15,Yes
23,535,2020-08-22,Yes
30,462,2020-08-29,Yes
36,483,2020-09-05,Yes
34,441,2020-09-12,Yes
29,429,2020-09-19,Yes
32,435,2020-09-26,Yes
27,322,2020-10-03,Yes
29,269,2020-10-10,Yes
23,251,2020-10-17,Yes
45,236,2020-10-24,Yes
41,239,2020-10-31,Yes
39,240,2020-11-07,Yes
41,239,2020-11-14,Yes
62,223,2020-11-21,Yes
93,260,2020-11-28,Yes
76,307,2020-12-05,Yes
83,331,2020-12-12,Yes
88,324,2020-12-19,Yes
73,356,2020-12-26,Yes
73,406,2021-01-01,Yes
