initial_claims,continued_claims,week_ending,Appalachia
120,944,2020-01-04,No
86,1022,2020-01-11,No
90,890,2020-01-18,No
59,886,2020-02-01,No
56,890,2020-02-08,No
65,848,2020-02-15,No
51,883,2020-02-22,No
44,877,2020-02-29,No
47,882,2020-03-07,No
41,841,2020-03-14,No
946,808,2020-03-21,No
2503,1504,2020-03-28,No
1392,3719,2020-04-04,No
782,4762,2020-04-11,No
465,4996,2020-04-18,No
406,4908,2020-04-25,No
319,4700,2020-05-02,No
248,4449,2020-05-09,No
281,4000,2020-05-16,No
194,3427,2020-05-23,No
137,3020,2020-05-30,No
178,2608,2020-06-06,No
145,2292,2020-06-13,No
113,2061,2020-06-20,No
139,1915,2020-06-27,No
226,1856,2020-07-04,No
695,1847,2020-07-11,No
260,2173,2020-07-18,No
199,1812,2020-07-25,No
149,1631,2020-08-01,No
113,1524,2020-08-08,No
115,1330,2020-08-15,No
86,1263,2020-08-22,No
87,1213,2020-08-29,No
72,1202,2020-09-05,No
62,1158,2020-09-12,No
83,1121,2020-09-19,No
92,1068,2020-09-26,No
110,845,2020-10-03,No
99,738,2020-10-10,No
105,666,2020-10-17,No
105,677,2020-10-24,No
312,660,2020-10-31,No
154,692,2020-11-07,No
312,660,2020-11-14,No
214,704,2020-11-21,No
256,750,2020-11-28,No
377,920,2020-12-05,No
273,1113,2020-12-12,No
217,1172,2020-12-19,No
246,1206,2020-12-26,No
230,1359,2021-01-02,No
236,1567,2021-01-09,No
220,1492,2021-01-16,No
266,1519,2021-01-23,No
