initial_claims,continued_claims,week_ending,Appalachia
67,496,2020-01-04,Yes
49,545,2020-01-11,Yes
35,444,2020-01-18,Yes
57,427,2020-02-01,Yes
57,410,2020-02-08,Yes
53,427,2020-02-15,Yes
34,442,2020-02-22,Yes
41,400,2020-02-29,Yes
51,404,2020-03-07,Yes
61,370,2020-03-14,Yes
665,431,2020-03-21,Yes
917,862,2020-03-28,Yes
830,1681,2020-04-04,Yes
606,2206,2020-04-11,Yes
481,2613,2020-04-18,Yes
403,2818,2020-04-25,Yes
245,2798,2020-05-02,Yes
219,2714,2020-05-09,Yes
172,2597,2020-05-16,Yes
123,2286,2020-05-23,Yes
120,2078,2020-05-30,Yes
121,1887,2020-06-06,Yes
94,1827,2020-06-13,Yes
113,1728,2020-06-20,Yes
121,1654,2020-06-27,Yes
109,1578,2020-07-04,Yes
148,1641,2020-07-11,Yes
118,1624,2020-07-18,Yes
162,1651,2020-07-25,Yes
131,1620,2020-08-01,Yes
132,1588,2020-08-08,Yes
78,1628,2020-08-15,Yes
73,1463,2020-08-22,Yes
79,1491,2020-08-29,Yes
88,1373,2020-09-05,Yes
75,1281,2020-09-12,Yes
89,1326,2020-09-19,Yes
118,1301,2020-09-26,Yes
74,1040,2020-10-03,Yes
75,935,2020-10-10,Yes
75,838,2020-10-17,Yes
71,792,2020-10-24,Yes
100,766,2020-10-31,Yes
106,698,2020-11-07,Yes
100,766,2020-11-14,Yes
139,743,2020-11-21,Yes
143,735,2020-11-28,Yes
175,804,2020-12-05,Yes
212,784,2020-12-12,Yes
179,790,2020-12-19,Yes
122,826,2020-12-26,Yes
124,858,2021-01-02,Yes
177,1018,2021-01-09,Yes
207,981,2021-01-16,Yes
224,1032,2021-01-23,Yes
191,772,2021-01-30,Yes
684,831,2021-02-06,Yes
