initial_claims,continued_claims,week_ending,Appalachia
52,391,2020-01-04,No
67,391,2020-01-11,No
35,423,2020-01-18,No
24,368,2020-02-01,No
18,327,2020-02-08,No
28,353,2020-02-15,No
14,337,2020-02-22,No
35,337,2020-02-29,No
54,308,2020-03-07,No
22,357,2020-03-14,No
784,329,2020-03-21,No
1092,902,2020-03-28,No
935,1850,2020-04-04,No
592,2580,2020-04-11,No
388,2879,2020-04-18,No
329,3065,2020-04-25,No
180,2985,2020-05-02,No
171,2822,2020-05-09,No
122,2625,2020-05-16,No
141,2333,2020-05-23,No
125,1993,2020-05-30,No
209,1877,2020-06-06,No
107,1616,2020-06-13,No
99,1509,2020-06-20,No
99,1386,2020-06-27,No
178,1305,2020-07-04,No
218,1450,2020-07-11,No
103,1360,2020-07-18,No
83,1294,2020-07-25,No
72,1213,2020-08-01,No
81,1170,2020-08-08,No
63,1119,2020-08-15,No
65,1078,2020-08-22,No
74,1009,2020-08-29,No
52,968,2020-09-05,No
36,914,2020-09-12,No
44,884,2020-09-19,No
72,830,2020-09-26,No
71,699,2020-10-03,No
48,560,2020-10-10,No
42,484,2020-10-17,No
51,505,2020-10-24,No
84,432,2020-10-31,No
96,437,2020-11-07,No
84,432,2020-11-14,No
111,500,2020-11-21,No
127,442,2020-11-28,No
161,487,2020-12-05,No
138,591,2020-12-12,No
133,553,2020-12-19,No
126,622,2020-12-26,No
125,662,2021-01-02,No
144,827,2021-01-09,No
151,750,2021-01-16,No
246,765,2021-01-23,No
232,673,2021-01-30,No
439,674,2021-02-06,No
342,685,2021-02-13,No
323,701,2021-02-20,No
245,725,2021-02-27,No
241,617,2021-03-06,No
215,587,2021-03-13,No
175,583,2021-03-20,No
358,560,2021-03-27,No
201,696,2021-04-03,No
90,631,2021-04-10,No
60,433,2021-04-17,No
91,381,2021-04-24,No
64,357,2021-05-01,No
74,347,2021-05-08,No
56,313,2021-05-15,No
36,297,2021-05-22,No
74,252,2021-05-29,No
44,271,2021-06-05,No
41,305,2021-06-12,No
