initial_claims,continued_claims,week_ending,Appalachia
436,2687,2020-01-04,No
444,2874,2020-01-11,No
383,2756,2020-01-18,No
396,2657,2020-02-01,No
305,2716,2020-02-08,No
290,2588,2020-02-15,No
288,2595,2020-02-22,No
2648,2581,2020-02-29,No
433,4524,2020-03-07,No
303,2615,2020-03-14,No
8690,2595,2020-03-21,No
17393,10094,2020-03-28,No
10932,24854,2020-04-04,No
7436,33481,2020-04-11,No
4993,38080,2020-04-18,No
3713,40633,2020-04-25,No
2626,39919,2020-05-02,No
2211,39228,2020-05-09,No
2184,37618,2020-05-16,No
1927,34783,2020-05-23,No
1456,30311,2020-05-30,No
1416,27967,2020-06-06,No
1391,23862,2020-06-13,No
1539,21876,2020-06-20,No
1494,20638,2020-06-27,No
1315,19569,2020-07-04,No
1444,19426,2020-07-11,No
1506,19160,2020-07-18,No
1393,19257,2020-07-25,No
1154,18406,2020-08-01,No
985,16531,2020-08-08,No
1059,15932,2020-08-15,No
834,15359,2020-08-22,No
859,14864,2020-08-29,No
842,14200,2020-09-05,No
764,13590,2020-09-12,No
736,13669,2020-09-19,No
771,12968,2020-09-26,No
770,9967,2020-10-03,No
763,8628,2020-10-10,No
824,7414,2020-10-17,No
751,6930,2020-10-24,No
851,6612,2020-10-31,No
994,5685,2020-11-07,No
851,6612,2020-11-14,No
1270,6257,2020-11-21,No
1093,5719,2020-11-28,No
1428,5972,2020-12-05,No
1542,6197,2020-12-12,No
1195,6049,2020-12-19,No
1269,5968,2020-12-26,No
1275,6865,2021-01-01,No
