initial_claims,continued_claims,week_ending,Appalachia
35,237,2020-01-04,No
35,280,2020-01-11,No
31,250,2020-01-18,No
25,278,2020-02-01,No
31,253,2020-02-08,No
12,271,2020-02-15,No
26,237,2020-02-22,No
28,236,2020-02-29,No
16,228,2020-03-07,No
21,212,2020-03-14,No
838,210,2020-03-21,No
1374,809,2020-03-28,No
1042,2064,2020-04-04,No
1159,2864,2020-04-11,No
697,3596,2020-04-18,No
515,4082,2020-04-25,No
330,4135,2020-05-02,No
242,4032,2020-05-09,No
220,3867,2020-05-16,No
200,3397,2020-05-23,No
154,2644,2020-05-30,No
177,2155,2020-06-06,No
121,2024,2020-06-13,No
160,1891,2020-06-20,No
146,1755,2020-06-27,No
143,1618,2020-07-04,No
143,1699,2020-07-11,No
114,1617,2020-07-18,No
145,1607,2020-07-25,No
161,1579,2020-08-01,No
90,1473,2020-08-08,No
96,1477,2020-08-15,No
70,1343,2020-08-22,No
83,1318,2020-08-29,No
68,1357,2020-09-05,No
76,1210,2020-09-12,No
67,1231,2020-09-19,No
76,1220,2020-09-26,No
95,992,2020-10-03,No
79,877,2020-10-10,No
85,775,2020-10-17,No
72,766,2020-10-24,No
117,739,2020-10-31,No
138,667,2020-11-07,No
117,739,2020-11-14,No
148,700,2020-11-21,No
135,677,2020-11-28,No
199,681,2020-12-05,No
174,714,2020-12-12,No
134,676,2020-12-19,No
90,672,2020-12-26,No
128,714,2021-01-02,No
194,854,2021-01-09,No
217,817,2021-01-16,No
196,842,2021-01-23,No
166,674,2021-01-30,No
539,696,2021-02-06,No
