initial_claims,continued_claims,week_ending,Appalachia
44,268,2020-01-04,Yes
28,293,2020-01-11,Yes
29,240,2020-01-18,Yes
26,224,2020-02-01,Yes
16,239,2020-02-08,Yes
33,233,2020-02-15,Yes
13,243,2020-02-22,Yes
38,210,2020-02-29,Yes
23,227,2020-03-07,Yes
22,228,2020-03-14,Yes
165,212,2020-03-21,Yes
352,321,2020-03-28,Yes
270,642,2020-04-04,Yes
166,817,2020-04-11,Yes
94,851,2020-04-18,Yes
102,866,2020-04-25,Yes
71,779,2020-05-02,Yes
40,737,2020-05-09,Yes
43,659,2020-05-16,Yes
59,604,2020-05-23,Yes
54,567,2020-05-30,Yes
39,557,2020-06-06,Yes
33,520,2020-06-13,Yes
30,509,2020-06-20,Yes
38,486,2020-06-27,Yes
28,487,2020-07-04,Yes
47,474,2020-07-11,Yes
43,544,2020-07-18,Yes
32,516,2020-07-25,Yes
24,501,2020-08-01,Yes
28,451,2020-08-08,Yes
32,450,2020-08-15,Yes
15,393,2020-08-22,Yes
31,441,2020-08-29,Yes
32,400,2020-09-05,Yes
24,393,2020-09-12,Yes
18,362,2020-09-19,Yes
33,364,2020-09-26,Yes
25,246,2020-10-03,Yes
26,227,2020-10-10,Yes
28,201,2020-10-17,Yes
31,195,2020-10-24,Yes
37,212,2020-10-31,Yes
48,168,2020-11-07,Yes
37,212,2020-11-14,Yes
43,200,2020-11-21,Yes
59,192,2020-11-28,Yes
58,231,2020-12-05,Yes
48,242,2020-12-12,Yes
82,246,2020-12-19,Yes
54,242,2020-12-26,Yes
54,314,2021-01-02,Yes
79,356,2021-01-09,Yes
78,379,2021-01-16,Yes
60,374,2021-01-23,Yes
63,302,2021-01-30,Yes
166,308,2021-02-06,Yes
123,328,2021-02-13,Yes
