initial_claims,continued_claims,week_ending,Appalachia
82,531,2020-01-04,No
54,562,2020-01-11,No
37,537,2020-01-18,No
52,543,2020-02-01,No
43,562,2020-02-08,No
30,549,2020-02-15,No
57,523,2020-02-22,No
33,546,2020-02-29,No
40,478,2020-03-07,No
41,507,2020-03-14,No
1677,457,2020-03-21,No
2831,1724,2020-03-28,No
2098,4243,2020-04-04,No
1605,5878,2020-04-11,No
1121,6810,2020-04-18,No
942,7349,2020-04-25,No
599,7300,2020-05-02,No
504,7048,2020-05-09,No
490,6522,2020-05-16,No
394,5458,2020-05-23,No
358,4540,2020-05-30,No
297,4290,2020-06-06,No
325,3800,2020-06-13,No
274,3497,2020-06-20,No
323,3265,2020-06-27,No
306,3167,2020-07-04,No
399,3167,2020-07-11,No
317,3125,2020-07-18,No
257,2957,2020-07-25,No
236,2936,2020-08-01,No
159,2554,2020-08-08,No
181,2458,2020-08-15,No
183,2381,2020-08-22,No
121,2317,2020-08-29,No
118,2211,2020-09-05,No
141,2139,2020-09-12,No
165,2203,2020-09-19,No
139,1995,2020-09-26,No
148,1534,2020-10-03,No
149,1394,2020-10-10,No
140,1221,2020-10-17,No
163,1090,2020-10-24,No
182,1127,2020-10-31,No
193,953,2020-11-07,No
182,1127,2020-11-14,No
215,982,2020-11-21,No
221,1039,2020-11-28,No
275,1022,2020-12-05,No
276,1041,2020-12-12,No
228,1103,2020-12-19,No
209,1087,2020-12-26,No
227,1162,2021-01-02,No
241,1502,2021-01-09,No
284,1437,2021-01-16,No
380,1451,2021-01-23,No
