initial_claims,continued_claims,week_ending,Appalachia
25,169,2020-01-04,Yes
23,185,2020-01-11,Yes
17,189,2020-01-18,Yes
14,191,2020-02-01,Yes
13,166,2020-02-08,Yes
22,179,2020-02-15,Yes
7,159,2020-02-22,Yes
15,170,2020-02-29,Yes
16,167,2020-03-07,Yes
27,175,2020-03-14,Yes
101,174,2020-03-21,Yes
118,238,2020-03-28,Yes
135,352,2020-04-04,Yes
87,439,2020-04-11,Yes
64,478,2020-04-18,Yes
55,484,2020-04-25,Yes
60,511,2020-05-02,Yes
43,489,2020-05-09,Yes
25,494,2020-05-16,Yes
26,444,2020-05-23,Yes
21,427,2020-05-30,Yes
25,407,2020-06-06,Yes
30,390,2020-06-13,Yes
18,363,2020-06-20,Yes
31,365,2020-06-27,Yes
19,346,2020-07-04,Yes
23,365,2020-07-11,Yes
20,376,2020-07-18,Yes
18,341,2020-07-25,Yes
18,320,2020-08-01,Yes
14,312,2020-08-08,Yes
14,291,2020-08-15,Yes
15,293,2020-08-22,Yes
13,298,2020-08-29,Yes
14,317,2020-09-05,Yes
17,257,2020-09-12,Yes
25,252,2020-09-19,Yes
12,276,2020-09-26,Yes
22,171,2020-10-03,Yes
15,154,2020-10-10,Yes
26,130,2020-10-17,Yes
23,140,2020-10-24,Yes
18,150,2020-10-31,Yes
27,188,2020-11-07,Yes
18,150,2020-11-14,Yes
33,139,2020-11-21,Yes
24,149,2020-11-28,Yes
40,145,2020-12-05,Yes
25,172,2020-12-12,Yes
27,181,2020-12-19,Yes
29,182,2020-12-26,Yes
41,195,2021-01-02,Yes
39,235,2021-01-09,Yes
39,234,2021-01-16,Yes
47,244,2021-01-23,Yes
44,207,2021-01-30,Yes
127,193,2021-02-06,Yes
87,201,2021-02-13,Yes
86,199,2021-02-20,Yes
104,206,2021-02-27,Yes
95,205,2021-03-06,Yes
82,198,2021-03-13,Yes
51,188,2021-03-20,Yes
40,178,2021-03-27,Yes
30,154,2021-04-03,Yes
19,134,2021-04-10,Yes
16,137,2021-04-17,Yes
15,126,2021-04-24,Yes
13,121,2021-05-01,Yes
27,117,2021-05-08,Yes
16,109,2021-05-15,Yes
18,101,2021-05-22,Yes
29,110,2021-05-29,Yes
77,101,2021-06-05,Yes
49,115,2021-06-12,Yes
