initial_claims,continued_claims,week_ending,Appalachia
368,2196,2020-01-04,No
305,2441,2020-01-11,No
254,2239,2020-01-18,No
254,2286,2020-02-01,No
249,2349,2020-02-08,No
226,2356,2020-02-15,No
212,2375,2020-02-22,No
215,2318,2020-02-29,No
221,2320,2020-03-07,No
256,2189,2020-03-14,No
9382,2274,2020-03-21,No
12847,9059,2020-03-28,No
11178,20238,2020-04-04,No
7602,29081,2020-04-11,No
4988,33502,2020-04-18,No
4344,36000,2020-04-25,No
3297,35616,2020-05-02,No
2590,35057,2020-05-09,No
2328,33601,2020-05-16,No
2115,30207,2020-05-23,No
1766,27651,2020-05-30,No
1674,25965,2020-06-06,No
1729,23684,2020-06-13,No
1862,22259,2020-06-20,No
1841,21928,2020-06-27,No
1639,21106,2020-07-04,No
1659,21048,2020-07-11,No
1430,20660,2020-07-18,No
1401,20593,2020-07-25,No
1120,19570,2020-08-01,No
864,18177,2020-08-08,No
1083,17577,2020-08-15,No
901,16773,2020-08-22,No
803,16370,2020-08-29,No
823,15727,2020-09-05,No
858,15066,2020-09-12,No
930,15295,2020-09-19,No
842,14569,2020-09-26,No
880,11494,2020-10-03,No
870,9884,2020-10-10,No
791,8467,2020-10-17,No
834,7982,2020-10-24,No
974,7722,2020-10-31,No
1274,7033,2020-11-07,No
974,7722,2020-11-14,No
1476,7072,2020-11-21,No
1273,6739,2020-11-28,No
1640,6808,2020-12-05,No
1799,7012,2020-12-12,No
1453,6743,2020-12-19,No
1154,6744,2020-12-26,No
1190,7052,2021-01-02,No
1654,9080,2021-01-09,No
2027,8960,2021-01-16,No
2701,9057,2021-01-23,No
