initial_claims,continued_claims,week_ending,Appalachia
37,275,2020-01-04,Yes
34,295,2020-01-11,Yes
23,269,2020-01-18,Yes
18,243,2020-02-01,Yes
22,243,2020-02-08,Yes
17,248,2020-02-15,Yes
16,239,2020-02-22,Yes
18,235,2020-02-29,Yes
14,235,2020-03-07,Yes
10,229,2020-03-14,Yes
133,213,2020-03-21,Yes
352,319,2020-03-28,Yes
192,610,2020-04-04,Yes
170,745,2020-04-11,Yes
105,846,2020-04-18,Yes
73,831,2020-04-25,Yes
48,853,2020-05-02,Yes
47,759,2020-05-09,Yes
47,729,2020-05-16,Yes
54,624,2020-05-23,Yes
68,651,2020-05-30,Yes
56,608,2020-06-06,Yes
28,539,2020-06-13,Yes
20,460,2020-06-20,Yes
22,438,2020-06-27,Yes
33,398,2020-07-04,Yes
29,426,2020-07-11,Yes
21,370,2020-07-18,Yes
21,374,2020-07-25,Yes
29,350,2020-08-01,Yes
26,353,2020-08-08,Yes
20,319,2020-08-15,Yes
27,314,2020-08-22,Yes
15,301,2020-08-29,Yes
15,284,2020-09-05,Yes
19,269,2020-09-12,Yes
11,302,2020-09-19,Yes
12,249,2020-09-26,Yes
33,194,2020-10-03,Yes
39,180,2020-10-10,Yes
16,173,2020-10-17,Yes
29,173,2020-10-24,Yes
28,200,2020-10-31,Yes
39,178,2020-11-07,Yes
28,200,2020-11-14,Yes
30,172,2020-11-21,Yes
52,187,2020-11-28,Yes
36,219,2020-12-05,Yes
56,231,2020-12-12,Yes
46,211,2020-12-19,Yes
46,226,2020-12-26,Yes
47,257,2021-01-02,Yes
70,317,2021-01-09,Yes
62,336,2021-01-16,Yes
52,328,2021-01-23,Yes
51,313,2021-01-30,Yes
97,317,2021-02-06,Yes
72,338,2021-02-13,Yes
76,354,2021-02-20,Yes
56,382,2021-02-27,Yes
42,322,2021-03-06,Yes
44,313,2021-03-13,Yes
35,268,2021-03-20,Yes
24,251,2021-03-27,Yes
31,207,2021-04-03,Yes
24,210,2021-04-10,Yes
20,166,2021-04-17,Yes
19,175,2021-04-24,Yes
24,154,2021-05-01,Yes
25,168,2021-05-08,Yes
33,166,2021-05-15,Yes
14,151,2021-05-22,Yes
16,124,2021-05-29,Yes
23,115,2021-06-05,Yes
19,109,2021-06-12,Yes
