initial_claims,continued_claims,week_ending,Appalachia
24,145,2020-01-04,Yes
16,159,2020-01-11,Yes
16,125,2020-01-18,Yes
15,122,2020-02-01,Yes
12,168,2020-02-08,Yes
7,129,2020-02-15,Yes
5,151,2020-02-22,Yes
11,118,2020-02-29,Yes
12,151,2020-03-07,Yes
15,128,2020-03-14,Yes
158,147,2020-03-21,Yes
163,252,2020-03-28,Yes
171,401,2020-04-04,Yes
103,498,2020-04-11,Yes
72,537,2020-04-18,Yes
54,569,2020-04-25,Yes
48,537,2020-05-02,Yes
51,560,2020-05-09,Yes
27,508,2020-05-16,Yes
34,443,2020-05-23,Yes
40,396,2020-05-30,Yes
39,346,2020-06-06,Yes
19,326,2020-06-13,Yes
27,326,2020-06-20,Yes
27,295,2020-06-27,Yes
41,289,2020-07-04,Yes
31,317,2020-07-11,Yes
23,289,2020-07-18,Yes
22,266,2020-07-25,Yes
17,269,2020-08-01,Yes
17,240,2020-08-08,Yes
22,232,2020-08-15,Yes
22,204,2020-08-22,Yes
20,230,2020-08-29,Yes
26,207,2020-09-05,Yes
15,250,2020-09-12,Yes
16,217,2020-09-19,Yes
14,232,2020-09-26,Yes
19,168,2020-10-03,Yes
25,170,2020-10-10,Yes
26,140,2020-10-17,Yes
19,145,2020-10-24,Yes
26,133,2020-10-31,Yes
36,144,2020-11-07,Yes
26,133,2020-11-14,Yes
36,167,2020-11-21,Yes
39,160,2020-11-28,Yes
27,196,2020-12-05,Yes
34,174,2020-12-12,Yes
30,195,2020-12-19,Yes
26,191,2020-12-26,Yes
33,188,2021-01-02,Yes
37,226,2021-01-09,Yes
43,226,2021-01-16,Yes
38,232,2021-01-23,Yes
26,206,2021-01-30,Yes
78,190,2021-02-06,Yes
70,203,2021-02-13,Yes
62,215,2021-02-20,Yes
41,232,2021-02-27,Yes
43,201,2021-03-06,Yes
38,191,2021-03-13,Yes
38,174,2021-03-20,Yes
33,160,2021-03-27,Yes
25,180,2021-04-03,Yes
14,135,2021-04-10,Yes
12,127,2021-04-17,Yes
25,124,2021-04-24,Yes
6,111,2021-05-01,Yes
15,95,2021-05-08,Yes
14,96,2021-05-15,Yes
14,88,2021-05-22,Yes
7,96,2021-05-29,Yes
19,77,2021-06-05,Yes
9,83,2021-06-12,Yes
