initial_claims,continued_claims,week_ending,Appalachia
81,377,2020-01-04,Yes
39,459,2020-01-11,Yes
39,380,2020-01-18,Yes
36,336,2020-02-01,Yes
22,377,2020-02-08,Yes
22,339,2020-02-15,Yes
27,370,2020-02-22,Yes
23,340,2020-02-29,Yes
28,351,2020-03-07,Yes
26,323,2020-03-14,Yes
433,326,2020-03-21,Yes
777,648,2020-03-28,Yes
651,1386,2020-04-04,Yes
399,1895,2020-04-11,Yes
260,2089,2020-04-18,Yes
212,2162,2020-04-25,Yes
159,2087,2020-05-02,Yes
125,2017,2020-05-09,Yes
101,1829,2020-05-16,Yes
114,1575,2020-05-23,Yes
120,1392,2020-05-30,Yes
72,1283,2020-06-06,Yes
69,1188,2020-06-13,Yes
61,1083,2020-06-20,Yes
58,994,2020-06-27,Yes
54,945,2020-07-04,Yes
70,902,2020-07-11,Yes
71,970,2020-07-18,Yes
66,874,2020-07-25,Yes
48,951,2020-08-01,Yes
50,808,2020-08-08,Yes
53,861,2020-08-15,Yes
50,764,2020-08-22,Yes
55,798,2020-08-29,Yes
56,739,2020-09-05,Yes
35,735,2020-09-12,Yes
30,716,2020-09-19,Yes
38,749,2020-09-26,Yes
47,548,2020-10-03,Yes
68,486,2020-10-10,Yes
55,440,2020-10-17,Yes
47,485,2020-10-24,Yes
45,369,2020-10-31,Yes
64,352,2020-11-07,Yes
45,369,2020-11-14,Yes
87,399,2020-11-21,Yes
77,368,2020-11-28,Yes
96,414,2020-12-05,Yes
111,446,2020-12-12,Yes
99,484,2020-12-19,Yes
101,465,2020-12-26,Yes
113,545,2021-01-02,Yes
112,677,2021-01-09,Yes
107,652,2021-01-16,Yes
114,652,2021-01-23,Yes
