initial_claims,continued_claims,week_ending,Appalachia
48,311,2020-01-04,No
35,342,2020-01-11,No
32,326,2020-01-18,No
24,323,2020-02-01,No
25,313,2020-02-08,No
22,322,2020-02-15,No
26,305,2020-02-22,No
11,332,2020-02-29,No
23,290,2020-03-07,No
26,305,2020-03-14,No
698,279,2020-03-21,No
935,788,2020-03-28,No
875,1622,2020-04-04,No
613,2274,2020-04-11,No
412,2612,2020-04-18,No
303,2891,2020-04-25,No
209,2825,2020-05-02,No
154,2763,2020-05-09,No
170,2534,2020-05-16,No
149,2285,2020-05-23,No
112,2021,2020-05-30,No
82,1796,2020-06-06,No
83,1613,2020-06-13,No
76,1476,2020-06-20,No
95,1422,2020-06-27,No
80,1338,2020-07-04,No
72,1322,2020-07-11,No
94,1258,2020-07-18,No
68,1327,2020-07-25,No
75,1288,2020-08-01,No
78,1204,2020-08-08,No
73,1178,2020-08-15,No
58,1080,2020-08-22,No
47,1014,2020-08-29,No
67,1018,2020-09-05,No
45,968,2020-09-12,No
38,965,2020-09-19,No
62,949,2020-09-26,No
58,697,2020-10-03,No
50,615,2020-10-10,No
52,533,2020-10-17,No
59,490,2020-10-24,No
70,475,2020-10-31,No
81,415,2020-11-07,No
70,475,2020-11-14,No
106,469,2020-11-21,No
106,435,2020-11-28,No
126,483,2020-12-05,No
132,518,2020-12-12,No
102,513,2020-12-19,No
136,565,2020-12-26,No
98,625,2021-01-02,No
101,823,2021-01-09,No
133,770,2021-01-16,No
196,817,2021-01-23,No
