initial_claims,continued_claims,week_ending,Appalachia
28,206,2020-01-04,No
28,227,2020-01-11,No
12,220,2020-01-18,No
17,229,2020-02-01,No
19,227,2020-02-08,No
22,229,2020-02-15,No
13,224,2020-02-22,No
16,227,2020-02-29,No
20,209,2020-03-07,No
9,221,2020-03-14,No
527,202,2020-03-21,No
826,577,2020-03-28,No
655,1323,2020-04-04,No
450,1808,2020-04-11,No
293,2110,2020-04-18,No
236,2243,2020-04-25,No
175,2213,2020-05-02,No
117,2153,2020-05-09,No
110,2069,2020-05-16,No
91,1788,2020-05-23,No
96,1565,2020-05-30,No
85,1378,2020-06-06,No
96,1225,2020-06-13,No
108,1159,2020-06-20,No
81,1139,2020-06-27,No
67,1056,2020-07-04,No
67,1065,2020-07-11,No
73,1019,2020-07-18,No
64,987,2020-07-25,No
52,910,2020-08-01,No
37,844,2020-08-08,No
50,815,2020-08-15,No
38,731,2020-08-22,No
54,693,2020-08-29,No
37,657,2020-09-05,No
38,663,2020-09-12,No
36,641,2020-09-19,No
38,611,2020-09-26,No
41,455,2020-10-03,No
49,395,2020-10-10,No
38,377,2020-10-17,No
37,342,2020-10-24,No
55,359,2020-10-31,No
47,297,2020-11-07,No
55,359,2020-11-14,No
81,305,2020-11-21,No
59,314,2020-11-28,No
90,340,2020-12-05,No
125,362,2020-12-12,No
62,347,2020-12-19,No
79,364,2020-12-26,No
85,423,2021-01-02,No
89,511,2021-01-09,No
101,486,2021-01-16,No
122,485,2021-01-23,No
102,446,2021-01-30,No
331,403,2021-02-06,No
