initial_claims,continued_claims,week_ending,Appalachia
26,195,2020-01-04,No
33,201,2020-01-11,No
24,213,2020-01-18,No
21,195,2020-02-01,No
15,186,2020-02-08,No
20,188,2020-02-15,No
10,187,2020-02-22,No
16,175,2020-02-29,No
12,193,2020-03-07,No
12,165,2020-03-14,No
368,170,2020-03-21,No
1013,417,2020-03-28,No
747,1339,2020-04-04,No
403,1924,2020-04-11,No
277,2206,2020-04-18,No
207,2221,2020-04-25,No
127,2181,2020-05-02,No
152,2057,2020-05-09,No
147,1930,2020-05-16,No
212,1630,2020-05-23,No
86,1418,2020-05-30,No
67,1100,2020-06-06,No
47,981,2020-06-13,No
86,850,2020-06-20,No
74,747,2020-06-27,No
120,725,2020-07-04,No
62,766,2020-07-11,No
76,751,2020-07-18,No
55,658,2020-07-25,No
63,577,2020-08-01,No
32,520,2020-08-08,No
41,475,2020-08-15,No
40,430,2020-08-22,No
37,432,2020-08-29,No
37,382,2020-09-05,No
19,354,2020-09-12,No
35,364,2020-09-19,No
28,322,2020-09-26,No
43,298,2020-10-03,No
38,231,2020-10-10,No
31,238,2020-10-17,No
61,197,2020-10-24,No
67,226,2020-10-31,No
69,218,2020-11-07,No
67,226,2020-11-14,No
86,244,2020-11-21,No
60,246,2020-11-28,No
98,280,2020-12-05,No
70,261,2020-12-12,No
77,283,2020-12-19,No
96,290,2020-12-26,No
113,361,2021-01-02,No
80,436,2021-01-09,No
98,358,2021-01-16,No
91,368,2021-01-23,No
