initial_claims,continued_claims,week_ending,Appalachia
65,537,2020-01-04,Yes
56,571,2020-01-11,Yes
28,546,2020-01-18,Yes
38,532,2020-02-01,Yes
70,549,2020-02-08,Yes
49,563,2020-02-15,Yes
43,567,2020-02-22,Yes
23,559,2020-02-29,Yes
29,553,2020-03-07,Yes
44,557,2020-03-14,Yes
1041,535,2020-03-21,Yes
2152,1355,2020-03-28,Yes
1494,3255,2020-04-04,Yes
900,4517,2020-04-11,Yes
706,4976,2020-04-18,Yes
563,5386,2020-04-25,Yes
325,5361,2020-05-02,Yes
270,5423,2020-05-09,Yes
218,4678,2020-05-16,Yes
299,4326,2020-05-23,Yes
198,3763,2020-05-30,Yes
212,3514,2020-06-06,Yes
208,2778,2020-06-13,Yes
139,2601,2020-06-20,Yes
151,2448,2020-06-27,Yes
140,2269,2020-07-04,Yes
153,2243,2020-07-11,Yes
110,2177,2020-07-18,Yes
119,2212,2020-07-25,Yes
100,2017,2020-08-01,Yes
101,1849,2020-08-08,Yes
102,1860,2020-08-15,Yes
96,1755,2020-08-22,Yes
79,1665,2020-08-29,Yes
76,1621,2020-09-05,Yes
79,1550,2020-09-12,Yes
86,1523,2020-09-19,Yes
71,1414,2020-09-26,Yes
86,990,2020-10-03,Yes
106,833,2020-10-10,Yes
105,740,2020-10-17,Yes
102,715,2020-10-24,Yes
110,727,2020-10-31,Yes
139,668,2020-11-07,Yes
110,727,2020-11-14,Yes
133,685,2020-11-21,Yes
146,728,2020-11-28,Yes
192,749,2020-12-05,Yes
158,747,2020-12-12,Yes
150,802,2020-12-19,Yes
150,815,2020-12-26,Yes
177,831,2021-01-02,Yes
216,1180,2021-01-09,Yes
194,1124,2021-01-16,Yes
222,1160,2021-01-23,Yes
207,785,2021-01-30,Yes
616,859,2021-02-06,Yes
456,822,2021-02-13,Yes
