initial_claims,continued_claims,week_ending,Appalachia
119,652,2020-01-04,Yes
79,681,2020-01-11,Yes
68,637,2020-01-18,Yes
44,601,2020-02-01,Yes
62,635,2020-02-08,Yes
63,608,2020-02-15,Yes
54,664,2020-02-22,Yes
53,632,2020-02-29,Yes
39,631,2020-03-07,Yes
38,562,2020-03-14,Yes
690,533,2020-03-21,Yes
1062,1017,2020-03-28,Yes
938,1928,2020-04-04,Yes
692,2633,2020-04-11,Yes
578,2907,2020-04-18,Yes
433,3265,2020-04-25,Yes
260,3100,2020-05-02,Yes
205,3038,2020-05-09,Yes
182,2780,2020-05-16,Yes
164,2440,2020-05-23,Yes
151,2232,2020-05-30,Yes
102,2077,2020-06-06,Yes
123,1913,2020-06-13,Yes
106,1776,2020-06-20,Yes
115,1696,2020-06-27,Yes
123,1665,2020-07-04,Yes
112,1633,2020-07-11,Yes
128,1595,2020-07-18,Yes
100,1605,2020-07-25,Yes
105,1598,2020-08-01,Yes
80,1532,2020-08-08,Yes
98,1424,2020-08-15,Yes
111,1403,2020-08-22,Yes
78,1380,2020-08-29,Yes
90,1298,2020-09-05,Yes
94,1250,2020-09-12,Yes
79,1241,2020-09-19,Yes
94,1211,2020-09-26,Yes
93,819,2020-10-03,Yes
108,772,2020-10-10,Yes
97,716,2020-10-17,Yes
105,628,2020-10-24,Yes
137,675,2020-10-31,Yes
150,709,2020-11-07,Yes
137,675,2020-11-14,Yes
161,769,2020-11-21,Yes
183,677,2020-11-28,Yes
201,853,2020-12-05,Yes
199,799,2020-12-12,Yes
193,781,2020-12-19,Yes
165,846,2020-12-26,Yes
214,941,2021-01-02,Yes
217,1170,2021-01-09,Yes
208,1192,2021-01-16,Yes
208,1149,2021-01-23,Yes
231,953,2021-01-30,Yes
607,963,2021-02-06,Yes
