initial_claims,continued_claims,week_ending,Appalachia
32,211,2020-01-04,No
36,198,2020-01-11,No
20,195,2020-01-18,No
35,199,2020-02-01,No
12,216,2020-02-08,No
14,205,2020-02-15,No
22,214,2020-02-22,No
18,221,2020-02-29,No
12,212,2020-03-07,No
19,203,2020-03-14,No
563,197,2020-03-21,No
1622,607,2020-03-28,No
1334,2069,2020-04-04,No
1358,3186,2020-04-11,No
977,4187,2020-04-18,No
653,4679,2020-04-25,No
304,4894,2020-05-02,No
269,4642,2020-05-09,No
229,4442,2020-05-16,No
270,3484,2020-05-23,No
254,2625,2020-05-30,No
242,2400,2020-06-06,No
212,2130,2020-06-13,No
212,1889,2020-06-20,No
162,1745,2020-06-27,No
229,1620,2020-07-04,No
254,1727,2020-07-11,No
148,1613,2020-07-18,No
125,1467,2020-07-25,No
114,1368,2020-08-01,No
78,1264,2020-08-08,No
74,1169,2020-08-15,No
87,1087,2020-08-22,No
56,1065,2020-08-29,No
67,1018,2020-09-05,No
55,928,2020-09-12,No
62,968,2020-09-19,No
69,860,2020-09-26,No
74,682,2020-10-03,No
89,578,2020-10-10,No
54,511,2020-10-17,No
98,446,2020-10-24,No
101,487,2020-10-31,No
91,425,2020-11-07,No
101,487,2020-11-14,No
114,430,2020-11-21,No
85,411,2020-11-28,No
128,496,2020-12-05,No
129,409,2020-12-12,No
97,456,2020-12-19,No
76,437,2020-12-26,No
97,451,2021-01-02,No
128,623,2021-01-09,No
148,576,2021-01-16,No
168,647,2021-01-23,No
147,481,2021-01-30,No
479,493,2021-02-06,No
