initial_claims,continued_claims,week_ending,Appalachia
292,1630,2020-01-04,Yes
245,1816,2020-01-11,Yes
155,1656,2020-01-18,Yes
141,1588,2020-02-01,Yes
135,1540,2020-02-08,Yes
132,1566,2020-02-15,Yes
237,1535,2020-02-22,Yes
131,1608,2020-02-29,Yes
95,1537,2020-03-07,Yes
156,1444,2020-03-14,Yes
3614,1425,2020-03-21,Yes
4969,4164,2020-03-28,Yes
4378,8487,2020-04-04,Yes
2661,11980,2020-04-11,Yes
1665,13273,2020-04-18,Yes
1713,13794,2020-04-25,Yes
1081,13234,2020-05-02,Yes
951,12968,2020-05-09,Yes
814,12067,2020-05-16,Yes
666,10774,2020-05-23,Yes
557,9499,2020-05-30,Yes
705,9020,2020-06-06,Yes
580,8297,2020-06-13,Yes
590,7881,2020-06-20,Yes
778,7637,2020-06-27,Yes
577,7466,2020-07-04,Yes
554,7329,2020-07-11,Yes
517,7108,2020-07-18,Yes
480,6949,2020-07-25,Yes
643,6642,2020-08-01,Yes
424,6568,2020-08-08,Yes
394,6177,2020-08-15,Yes
315,5872,2020-08-22,Yes
289,5775,2020-08-29,Yes
292,5411,2020-09-05,Yes
247,5142,2020-09-12,Yes
274,5046,2020-09-19,Yes
259,4828,2020-09-26,Yes
253,3531,2020-10-03,Yes
312,3146,2020-10-10,Yes
273,2781,2020-10-17,Yes
255,2603,2020-10-24,Yes
329,2539,2020-10-31,Yes
441,2286,2020-11-07,Yes
329,2539,2020-11-14,Yes
529,2413,2020-11-21,Yes
573,2531,2020-11-28,Yes
690,2667,2020-12-05,Yes
699,2853,2020-12-12,Yes
587,2761,2020-12-19,Yes
475,2596,2020-12-26,Yes
515,3014,2021-01-02,Yes
600,3677,2021-01-09,Yes
652,3597,2021-01-16,Yes
724,3603,2021-01-23,Yes
645,2749,2021-01-30,Yes
2215,2659,2021-02-06,Yes
5443,2901,2021-02-13,Yes
2262,3534,2021-02-20,Yes
1226,3404,2021-02-27,Yes
1179,3211,2021-03-06,Yes
5473,2759,2021-03-13,Yes
805,3110,2021-03-20,Yes
668,2880,2021-03-27,Yes
490,3066,2021-04-03,Yes
253,2688,2021-04-10,Yes
