initial_claims,continued_claims,week_ending,Appalachia
132,818,2020-01-04,Yes
87,838,2020-01-11,Yes
63,755,2020-01-18,Yes
91,869,2020-02-01,Yes
67,775,2020-02-08,Yes
53,755,2020-02-15,Yes
76,733,2020-02-22,Yes
113,737,2020-02-29,Yes
83,791,2020-03-07,Yes
62,752,2020-03-14,Yes
1323,711,2020-03-21,Yes
2233,1670,2020-03-28,Yes
1491,3633,2020-04-04,Yes
1150,4652,2020-04-11,Yes
977,5084,2020-04-18,Yes
675,5494,2020-04-25,Yes
466,5331,2020-05-02,Yes
400,4896,2020-05-09,Yes
438,4597,2020-05-16,Yes
398,4243,2020-05-23,Yes
279,3796,2020-05-30,Yes
299,3597,2020-06-06,Yes
259,3282,2020-06-13,Yes
292,2871,2020-06-20,Yes
259,2732,2020-06-27,Yes
245,2556,2020-07-04,Yes
249,2523,2020-07-11,Yes
222,2432,2020-07-18,Yes
169,2726,2020-07-25,Yes
189,2349,2020-08-01,Yes
175,2154,2020-08-08,Yes
139,2145,2020-08-15,Yes
108,2008,2020-08-22,Yes
123,1987,2020-08-29,Yes
104,1871,2020-09-05,Yes
105,1804,2020-09-12,Yes
120,1807,2020-09-19,Yes
122,1722,2020-09-26,Yes
162,1304,2020-10-03,Yes
142,1124,2020-10-10,Yes
110,1000,2020-10-17,Yes
142,895,2020-10-24,Yes
170,929,2020-10-31,Yes
180,860,2020-11-07,Yes
170,929,2020-11-14,Yes
208,938,2020-11-21,Yes
262,945,2020-11-28,Yes
269,1016,2020-12-05,Yes
276,1045,2020-12-12,Yes
219,1054,2020-12-19,Yes
250,1045,2020-12-26,Yes
199,1243,2021-01-02,Yes
249,1470,2021-01-09,Yes
273,1410,2021-01-16,Yes
271,1400,2021-01-23,Yes
