initial_claims,continued_claims,week_ending,Appalachia
76,467,2020-01-04,No
57,508,2020-01-11,No
40,486,2020-01-18,No
44,487,2020-02-01,No
29,473,2020-02-08,No
38,466,2020-02-15,No
56,475,2020-02-22,No
34,478,2020-02-29,No
42,485,2020-03-07,No
34,461,2020-03-14,No
1378,435,2020-03-21,No
2567,1430,2020-03-28,No
1710,3673,2020-04-04,No
1108,4973,2020-04-11,No
816,5656,2020-04-18,No
609,5925,2020-04-25,No
411,5704,2020-05-02,No
292,5435,2020-05-09,No
315,5052,2020-05-16,No
321,4626,2020-05-23,No
219,4050,2020-05-30,No
334,3700,2020-06-06,No
165,3431,2020-06-13,No
230,3087,2020-06-20,No
217,2956,2020-06-27,No
226,2777,2020-07-04,No
265,2819,2020-07-11,No
209,2796,2020-07-18,No
171,2767,2020-07-25,No
208,2704,2020-08-01,No
133,2387,2020-08-08,No
138,2236,2020-08-15,No
117,2143,2020-08-22,No
131,2100,2020-08-29,No
129,1910,2020-09-05,No
102,1899,2020-09-12,No
78,1841,2020-09-19,No
98,1754,2020-09-26,No
99,1269,2020-10-03,No
142,1175,2020-10-10,No
141,1049,2020-10-17,No
104,969,2020-10-24,No
152,876,2020-10-31,No
159,800,2020-11-07,No
152,876,2020-11-14,No
216,850,2020-11-21,No
200,896,2020-11-28,No
250,913,2020-12-05,No
291,970,2020-12-12,No
207,970,2020-12-19,No
168,938,2020-12-26,No
240,1044,2021-01-01,No
