initial_claims,continued_claims,week_ending,Appalachia
43,308,2020-01-04,No
35,295,2020-01-11,No
18,167,2020-01-18,No
17,160,2020-02-01,No
15,145,2020-02-08,No
19,139,2020-02-15,No
12,145,2020-02-22,No
13,141,2020-02-29,No
19,158,2020-03-07,No
16,139,2020-03-14,No
401,149,2020-03-21,No
1751,426,2020-03-28,No
1041,2009,2020-04-04,No
534,2976,2020-04-11,No
326,3158,2020-04-18,No
246,3144,2020-04-25,No
188,3079,2020-05-02,No
165,2826,2020-05-09,No
146,2608,2020-05-16,No
117,2223,2020-05-23,No
97,1993,2020-05-30,No
94,1713,2020-06-06,No
49,1404,2020-06-13,No
87,1095,2020-06-20,No
91,1066,2020-06-27,No
189,943,2020-07-04,No
171,1097,2020-07-11,No
112,1068,2020-07-18,No
91,1027,2020-07-25,No
81,866,2020-08-01,No
58,824,2020-08-08,No
43,797,2020-08-15,No
51,771,2020-08-22,No
54,689,2020-08-29,No
43,682,2020-09-05,No
41,612,2020-09-12,No
32,661,2020-09-19,No
37,554,2020-09-26,No
49,447,2020-10-03,No
73,344,2020-10-10,No
51,362,2020-10-17,No
38,333,2020-10-24,No
48,356,2020-10-31,No
68,324,2020-11-07,No
48,356,2020-11-14,No
96,346,2020-11-21,No
121,347,2020-11-28,No
102,410,2020-12-05,No
118,421,2020-12-12,No
101,427,2020-12-19,No
91,404,2020-12-26,No
139,482,2021-01-02,No
119,594,2021-01-09,No
89,469,2021-01-16,No
141,507,2021-01-23,No
82,396,2021-01-30,No
310,372,2021-02-06,No
203,379,2021-02-13,No
201,374,2021-02-20,No
163,357,2021-02-27,No
154,380,2021-03-06,No
136,341,2021-03-13,No
99,319,2021-03-20,No
208,312,2021-03-27,No
61,441,2021-04-03,No
44,401,2021-04-10,No
53,297,2021-04-17,No
52,280,2021-04-24,No
112,251,2021-05-01,No
68,295,2021-05-08,No
40,299,2021-05-15,No
27,219,2021-05-22,No
46,197,2021-05-29,No
51,240,2021-06-05,No
51,203,2021-06-12,No
