initial_claims,continued_claims,week_ending,Appalachia
14,114,2020-01-04,No
20,122,2020-01-11,No
10,126,2020-01-18,No
9,131,2020-02-01,No
4,117,2020-02-08,No
10,124,2020-02-15,No
6,120,2020-02-22,No
100,116,2020-02-29,No
17,204,2020-03-07,No
7,108,2020-03-14,No
288,114,2020-03-21,No
1236,334,2020-03-28,No
556,1419,2020-04-04,No
370,1884,2020-04-11,No
388,1990,2020-04-18,No
254,2248,2020-04-25,No
149,2305,2020-05-02,No
96,2147,2020-05-09,No
115,1980,2020-05-16,No
93,1807,2020-05-23,No
57,1511,2020-05-30,No
63,1174,2020-06-06,No
69,970,2020-06-13,No
60,728,2020-06-20,No
56,613,2020-06-27,No
110,564,2020-07-04,No
124,665,2020-07-11,No
58,568,2020-07-18,No
68,528,2020-07-25,No
65,533,2020-08-01,No
43,470,2020-08-08,No
48,459,2020-08-15,No
29,451,2020-08-22,No
31,382,2020-08-29,No
29,376,2020-09-05,No
15,372,2020-09-12,No
22,394,2020-09-19,No
30,348,2020-09-26,No
26,277,2020-10-03,No
28,248,2020-10-10,No
34,206,2020-10-17,No
31,183,2020-10-24,No
28,209,2020-10-31,No
44,184,2020-11-07,No
28,209,2020-11-14,No
56,195,2020-11-21,No
42,192,2020-11-28,No
65,207,2020-12-05,No
72,224,2020-12-12,No
71,220,2020-12-19,No
69,228,2020-12-26,No
73,247,2021-01-02,No
51,308,2021-01-09,No
62,285,2021-01-16,No
56,276,2021-01-23,No
73,225,2021-01-30,No
163,223,2021-02-06,No
161,260,2021-02-13,No
134,260,2021-02-20,No
160,288,2021-02-27,No
142,257,2021-03-06,No
97,279,2021-03-13,No
101,232,2021-03-20,No
142,234,2021-03-27,No
211,258,2021-04-03,No
63,361,2021-04-10,No
38,186,2021-04-17,No
33,168,2021-04-24,No
35,151,2021-05-01,No
38,133,2021-05-08,No
32,126,2021-05-15,No
29,118,2021-05-22,No
17,118,2021-05-29,No
30,135,2021-06-05,No
19,100,2021-06-12,No
