initial_claims,continued_claims,week_ending,Appalachia
32,294,2020-01-04,Yes
41,309,2020-01-11,Yes
33,291,2020-01-18,Yes
33,278,2020-02-01,Yes
24,314,2020-02-08,Yes
34,290,2020-02-15,Yes
17,316,2020-02-22,Yes
21,282,2020-02-29,Yes
13,301,2020-03-07,Yes
23,277,2020-03-14,Yes
861,284,2020-03-21,Yes
792,819,2020-03-28,Yes
701,1491,2020-04-04,Yes
439,1949,2020-04-11,Yes
295,2137,2020-04-18,Yes
269,2238,2020-04-25,Yes
195,2055,2020-05-02,Yes
212,1971,2020-05-09,Yes
129,1833,2020-05-16,Yes
129,1634,2020-05-23,Yes
101,1492,2020-05-30,Yes
145,1440,2020-06-06,Yes
79,1401,2020-06-13,Yes
96,1342,2020-06-20,Yes
83,1282,2020-06-27,Yes
62,1265,2020-07-04,Yes
111,1250,2020-07-11,Yes
132,1275,2020-07-18,Yes
103,1291,2020-07-25,Yes
90,1307,2020-08-01,Yes
69,1187,2020-08-08,Yes
86,1218,2020-08-15,Yes
61,1044,2020-08-22,Yes
57,1070,2020-08-29,Yes
59,1020,2020-09-05,Yes
52,983,2020-09-12,Yes
71,937,2020-09-19,Yes
76,938,2020-09-26,Yes
67,640,2020-10-03,Yes
62,563,2020-10-10,Yes
65,476,2020-10-17,Yes
64,502,2020-10-24,Yes
60,502,2020-10-31,Yes
87,437,2020-11-07,Yes
60,502,2020-11-14,Yes
112,478,2020-11-21,Yes
119,435,2020-11-28,Yes
143,556,2020-12-05,Yes
162,553,2020-12-12,Yes
132,562,2020-12-19,Yes
121,586,2020-12-26,Yes
113,687,2021-01-01,Yes
