initial_claims,continued_claims,week_ending,Appalachia
210,1714,2020-01-04,No
245,1886,2020-01-11,No
165,1589,2020-01-18,No
143,1589,2020-02-01,No
190,1576,2020-02-08,No
157,1607,2020-02-15,No
160,1579,2020-02-22,No
153,1593,2020-02-29,No
129,1561,2020-03-07,No
151,1536,2020-03-14,No
5821,1502,2020-03-21,No
7537,5766,2020-03-28,No
6768,11963,2020-04-04,No
4465,17115,2020-04-11,No
3430,20063,2020-04-18,No
2608,21969,2020-04-25,No
1889,21666,2020-05-02,No
1800,21363,2020-05-09,No
1375,20606,2020-05-16,No
1273,18922,2020-05-23,No
983,16722,2020-05-30,No
927,15618,2020-06-06,No
957,14430,2020-06-13,No
1007,13619,2020-06-20,No
951,13153,2020-06-27,No
863,12752,2020-07-04,No
838,12810,2020-07-11,No
764,12297,2020-07-18,No
721,12369,2020-07-25,No
710,12042,2020-08-01,No
561,11078,2020-08-08,No
564,10720,2020-08-15,No
493,10182,2020-08-22,No
470,9832,2020-08-29,No
441,9521,2020-09-05,No
425,9145,2020-09-12,No
439,9012,2020-09-19,No
468,8880,2020-09-26,No
460,6745,2020-10-03,No
493,6087,2020-10-10,No
440,5373,2020-10-17,No
452,4806,2020-10-24,No
502,4512,2020-10-31,No
560,3879,2020-11-07,No
502,4512,2020-11-14,No
610,3855,2020-11-21,No
568,3691,2020-11-28,No
785,3956,2020-12-05,No
966,3811,2020-12-12,No
757,3782,2020-12-19,No
1051,3791,2020-12-26,No
778,4585,2021-01-01,No
