initial_claims,continued_claims,week_ending,Appalachia
157,786,2020-01-04,No
74,895,2020-01-11,No
73,811,2020-01-18,No
62,738,2020-02-01,No
61,719,2020-02-08,No
59,733,2020-02-15,No
57,725,2020-02-22,No
41,719,2020-02-29,No
44,698,2020-03-07,No
63,675,2020-03-14,No
2353,686,2020-03-21,No
2848,2394,2020-03-28,No
2902,4733,2020-04-04,No
1869,7093,2020-04-11,No
1202,8108,2020-04-18,No
1040,8701,2020-04-25,No
643,8413,2020-05-02,No
498,8153,2020-05-09,No
463,7403,2020-05-16,No
443,6497,2020-05-23,No
387,5682,2020-05-30,No
321,5378,2020-06-06,No
306,5048,2020-06-13,No
287,4720,2020-06-20,No
298,4530,2020-06-27,No
294,4406,2020-07-04,No
268,4193,2020-07-11,No
232,4223,2020-07-18,No
276,4237,2020-07-25,No
262,4045,2020-08-01,No
202,3833,2020-08-08,No
173,3597,2020-08-15,No
208,3453,2020-08-22,No
212,3417,2020-08-29,No
161,3296,2020-09-05,No
143,3013,2020-09-12,No
164,3058,2020-09-19,No
153,2908,2020-09-26,No
162,2268,2020-10-03,No
188,1909,2020-10-10,No
159,1672,2020-10-17,No
148,1527,2020-10-24,No
186,1510,2020-10-31,No
250,1317,2020-11-07,No
186,1510,2020-11-14,No
312,1399,2020-11-21,No
249,1435,2020-11-28,No
369,1427,2020-12-05,No
335,1470,2020-12-12,No
285,1502,2020-12-19,No
298,1476,2020-12-26,No
304,1695,2021-01-02,No
360,2105,2021-01-09,No
479,2098,2021-01-16,No
555,2138,2021-01-23,No
550,1661,2021-01-30,No
1660,1687,2021-02-06,No
1932,1855,2021-02-13,No
1365,2133,2021-02-20,No
1897,2207,2021-02-27,No
2200,2057,2021-03-06,No
1342,2279,2021-03-13,No
1024,2456,2021-03-20,No
709,2308,2021-03-27,No
662,1748,2021-04-03,No
251,1629,2021-04-10,No
