initial_claims,continued_claims,week_ending,Appalachia
607,4375,2020-01-04,No
586,4761,2020-01-11,No
551,4544,2020-01-18,No
552,4683,2020-02-01,No
492,4736,2020-02-08,No
456,4645,2020-02-15,No
441,4675,2020-02-22,No
415,4633,2020-02-29,No
502,4611,2020-03-07,No
674,4563,2020-03-14,No
23527,4798,2020-03-21,No
23295,21732,2020-03-28,No
23327,40765,2020-04-04,No
17688,58926,2020-04-11,No
12284,70490,2020-04-18,No
10389,77869,2020-04-25,No
6759,78060,2020-05-02,No
5490,76975,2020-05-09,No
5069,73496,2020-05-16,No
4788,67834,2020-05-23,No
4071,62878,2020-05-30,No
4074,60615,2020-06-06,No
3937,57962,2020-06-13,No
3955,55904,2020-06-20,No
3983,54457,2020-06-27,No
3554,53186,2020-07-04,No
3787,53247,2020-07-11,No
3310,52798,2020-07-18,No
3003,52956,2020-07-25,No
2935,51299,2020-08-01,No
2272,47550,2020-08-08,No
2499,46452,2020-08-15,No
2200,44926,2020-08-22,No
2123,43552,2020-08-29,No
1940,42210,2020-09-05,No
1711,40606,2020-09-12,No
1826,40028,2020-09-19,No
2054,38334,2020-09-26,No
2085,29882,2020-10-03,No
2217,26768,2020-10-10,No
1775,22748,2020-10-17,No
1787,21202,2020-10-24,No
2149,20102,2020-10-31,No
2693,17483,2020-11-07,No
2149,20102,2020-11-14,No
3110,18087,2020-11-21,No
2450,16789,2020-11-28,No
3471,17509,2020-12-05,No
3974,17326,2020-12-12,No
3203,17135,2020-12-19,No
2624,16423,2020-12-26,No
2654,18030,2021-01-02,No
3987,22487,2021-01-09,No
5368,22520,2021-01-16,No
6069,22735,2021-01-23,No
5865,17228,2021-01-30,No
21140,17444,2021-02-06,No
24428,19071,2021-02-13,No
16306,22703,2021-02-20,No
22992,22573,2021-02-27,No
26752,21637,2021-03-06,No
18158,24630,2021-03-13,No
12719,29315,2021-03-20,No
8320,27856,2021-03-27,No
6871,19984,2021-04-03,No
2974,17556,2021-04-10,No
