initial_claims,continued_claims,week_ending,Appalachia
118,829,2020-01-04,No
129,883,2020-01-11,No
97,896,2020-01-18,No
84,837,2020-02-01,No
63,820,2020-02-08,No
61,820,2020-02-15,No
74,820,2020-02-22,No
90,813,2020-02-29,No
72,838,2020-03-07,No
93,774,2020-03-14,No
2744,804,2020-03-21,No
3076,2821,2020-03-28,No
2793,5465,2020-04-04,No
2158,7486,2020-04-11,No
1199,8803,2020-04-18,No
1107,9418,2020-04-25,No
704,9218,2020-05-02,No
611,8931,2020-05-09,No
560,8246,2020-05-16,No
461,7391,2020-05-23,No
412,6682,2020-05-30,No
392,6290,2020-06-06,No
325,5897,2020-06-13,No
333,5480,2020-06-20,No
344,5352,2020-06-27,No
313,5061,2020-07-04,No
334,5020,2020-07-11,No
263,4894,2020-07-18,No
272,4888,2020-07-25,No
275,4584,2020-08-01,No
208,4283,2020-08-08,No
227,4107,2020-08-15,No
193,3959,2020-08-22,No
192,3810,2020-08-29,No
185,3648,2020-09-05,No
154,3493,2020-09-12,No
143,3358,2020-09-19,No
171,3156,2020-09-26,No
161,2434,2020-10-03,No
149,2058,2020-10-10,No
158,1780,2020-10-17,No
169,1656,2020-10-24,No
203,1556,2020-10-31,No
297,1426,2020-11-07,No
203,1556,2020-11-14,No
333,1514,2020-11-21,No
337,1429,2020-11-28,No
380,1559,2020-12-05,No
383,1640,2020-12-12,No
345,1681,2020-12-19,No
299,1592,2020-12-26,No
308,1800,2021-01-02,No
406,2260,2021-01-09,No
485,2242,2021-01-16,No
654,2309,2021-01-23,No
576,1753,2021-01-30,No
1604,1801,2021-02-06,No
1292,2043,2021-02-13,No
1153,2060,2021-02-20,No
976,2067,2021-02-27,No
947,1979,2021-03-06,No
746,2006,2021-03-13,No
598,1847,2021-03-20,No
546,1891,2021-03-27,No
408,1689,2021-04-03,No
251,1540,2021-04-10,No
