initial_claims,continued_claims,week_ending,Appalachia
22,166,2020-01-04,No
26,164,2020-01-11,No
14,165,2020-01-18,No
15,165,2020-02-01,No
11,168,2020-02-08,No
11,177,2020-02-15,No
11,158,2020-02-22,No
7,153,2020-02-29,No
7,164,2020-03-07,No
12,148,2020-03-14,No
480,156,2020-03-21,No
691,503,2020-03-28,No
558,1104,2020-04-04,No
557,1508,2020-04-11,No
407,1887,2020-04-18,No
260,2112,2020-04-25,No
174,2182,2020-05-02,No
113,2148,2020-05-09,No
98,1999,2020-05-16,No
105,1671,2020-05-23,No
83,1408,2020-05-30,No
68,1219,2020-06-06,No
61,1088,2020-06-13,No
59,1031,2020-06-20,No
57,955,2020-06-27,No
59,906,2020-07-04,No
62,907,2020-07-11,No
65,912,2020-07-18,No
65,891,2020-07-25,No
52,846,2020-08-01,No
54,783,2020-08-08,No
59,799,2020-08-15,No
45,773,2020-08-22,No
45,746,2020-08-29,No
40,730,2020-09-05,No
38,665,2020-09-12,No
26,650,2020-09-19,No
40,617,2020-09-26,No
40,526,2020-10-03,No
38,437,2020-10-10,No
33,394,2020-10-17,No
72,350,2020-10-24,No
52,353,2020-10-31,No
59,287,2020-11-07,No
52,353,2020-11-14,No
66,304,2020-11-21,No
70,301,2020-11-28,No
84,346,2020-12-05,No
101,345,2020-12-12,No
52,345,2020-12-19,No
79,349,2020-12-26,No
71,375,2021-01-01,No
