initial_claims,continued_claims,week_ending,Appalachia
237,1591,2020-01-04,Yes
252,1766,2020-01-11,Yes
178,1648,2020-01-18,Yes
139,1613,2020-02-01,Yes
159,1546,2020-02-08,Yes
154,1567,2020-02-15,Yes
165,1601,2020-02-22,Yes
127,1598,2020-02-29,Yes
158,1549,2020-03-07,Yes
192,1537,2020-03-14,Yes
4560,1564,2020-03-21,Yes
6018,4985,2020-03-28,Yes
5021,10129,2020-04-04,Yes
2964,13981,2020-04-11,Yes
2003,15185,2020-04-18,Yes
2075,16111,2020-04-25,Yes
1362,15316,2020-05-02,Yes
1051,14912,2020-05-09,Yes
942,13776,2020-05-16,Yes
791,12261,2020-05-23,Yes
665,10900,2020-05-30,Yes
816,10501,2020-06-06,Yes
754,9813,2020-06-13,Yes
736,9538,2020-06-20,Yes
796,9081,2020-06-27,Yes
622,8697,2020-07-04,Yes
615,8741,2020-07-11,Yes
529,8497,2020-07-18,Yes
565,8529,2020-07-25,Yes
525,8280,2020-08-01,Yes
429,7562,2020-08-08,Yes
418,7392,2020-08-15,Yes
326,6944,2020-08-22,Yes
357,6684,2020-08-29,Yes
337,6400,2020-09-05,Yes
319,6186,2020-09-12,Yes
347,6163,2020-09-19,Yes
298,5884,2020-09-26,Yes
388,4540,2020-10-03,Yes
350,3983,2020-10-10,Yes
402,3527,2020-10-17,Yes
310,3259,2020-10-24,Yes
378,3268,2020-10-31,Yes
439,2905,2020-11-07,Yes
378,3268,2020-11-14,Yes
559,3054,2020-11-21,Yes
548,2967,2020-11-28,Yes
737,3180,2020-12-05,Yes
774,3150,2020-12-12,Yes
648,3264,2020-12-19,Yes
517,3195,2020-12-26,Yes
610,3458,2021-01-01,Yes
