initial_claims,continued_claims,week_ending,Appalachia
161,835,2020-01-04,Yes
108,877,2020-01-11,Yes
77,859,2020-01-18,Yes
74,835,2020-02-01,Yes
63,842,2020-02-08,Yes
61,818,2020-02-15,Yes
59,838,2020-02-22,Yes
67,821,2020-02-29,Yes
49,812,2020-03-07,Yes
40,766,2020-03-14,Yes
1345,762,2020-03-21,Yes
1624,1817,2020-03-28,Yes
1552,3169,2020-04-04,Yes
1082,4365,2020-04-11,Yes
562,4916,2020-04-18,Yes
511,5117,2020-04-25,Yes
359,4899,2020-05-02,Yes
282,4730,2020-05-09,Yes
240,4112,2020-05-16,Yes
246,3601,2020-05-23,Yes
259,3330,2020-05-30,Yes
200,3126,2020-06-06,Yes
161,2835,2020-06-13,Yes
149,2601,2020-06-20,Yes
153,2422,2020-06-27,Yes
204,2291,2020-07-04,Yes
193,2325,2020-07-11,Yes
168,2189,2020-07-18,Yes
167,2238,2020-07-25,Yes
156,2165,2020-08-01,Yes
137,1984,2020-08-08,Yes
156,1937,2020-08-15,Yes
129,1838,2020-08-22,Yes
107,1815,2020-08-29,Yes
122,1794,2020-09-05,Yes
109,1674,2020-09-12,Yes
94,1681,2020-09-19,Yes
122,1630,2020-09-26,Yes
131,1199,2020-10-03,Yes
141,1130,2020-10-10,Yes
114,979,2020-10-17,Yes
133,981,2020-10-24,Yes
143,970,2020-10-31,Yes
176,853,2020-11-07,Yes
143,970,2020-11-14,Yes
256,890,2020-11-21,Yes
279,954,2020-11-28,Yes
301,1114,2020-12-05,Yes
277,1192,2020-12-12,Yes
217,1179,2020-12-19,Yes
243,1172,2020-12-26,Yes
236,1321,2021-01-01,Yes
