initial_claims,continued_claims,week_ending,Appalachia
87,654,2020-01-04,No
53,740,2020-01-11,No
53,662,2020-01-18,No
43,687,2020-02-01,No
42,705,2020-02-08,No
24,663,2020-02-15,No
32,684,2020-02-22,No
77,661,2020-02-29,No
37,705,2020-03-07,No
31,628,2020-03-14,No
690,631,2020-03-21,No
1169,1128,2020-03-28,No
804,2163,2020-04-04,No
487,2789,2020-04-11,No
323,3003,2020-04-18,No
272,3093,2020-04-25,No
190,2946,2020-05-02,No
146,2779,2020-05-09,No
133,2613,2020-05-16,No
131,2327,2020-05-23,No
100,2003,2020-05-30,No
95,1783,2020-06-06,No
88,1535,2020-06-13,No
73,1421,2020-06-20,No
138,1398,2020-06-27,No
106,1326,2020-07-04,No
109,1294,2020-07-11,No
87,1264,2020-07-18,No
98,1240,2020-07-25,No
62,1169,2020-08-01,No
65,1025,2020-08-08,No
55,1010,2020-08-15,No
53,902,2020-08-22,No
58,895,2020-08-29,No
47,863,2020-09-05,No
69,874,2020-09-12,No
56,802,2020-09-19,No
52,830,2020-09-26,No
65,540,2020-10-03,No
59,501,2020-10-10,No
85,459,2020-10-17,No
88,484,2020-10-24,No
103,482,2020-10-31,No
126,583,2020-11-07,No
103,482,2020-11-14,No
130,655,2020-11-21,No
151,679,2020-11-28,No
171,853,2020-12-05,No
144,773,2020-12-12,No
145,819,2020-12-19,No
143,868,2020-12-26,No
153,947,2021-01-01,No
