initial_claims,continued_claims,week_ending,Appalachia
130,831,2020-01-04,No
66,841,2020-01-11,No
70,733,2020-01-18,No
57,691,2020-02-01,No
47,701,2020-02-08,No
56,696,2020-02-15,No
67,688,2020-02-22,No
49,697,2020-02-29,No
49,684,2020-03-07,No
44,681,2020-03-14,No
2150,667,2020-03-21,No
3125,2287,2020-03-28,No
2414,5160,2020-04-04,No
2049,7052,2020-04-11,No
1183,8388,2020-04-18,No
803,8920,2020-04-25,No
572,8733,2020-05-02,No
467,8543,2020-05-09,No
419,7874,2020-05-16,No
383,7037,2020-05-23,No
348,6314,2020-05-30,No
313,5352,2020-06-06,No
254,4797,2020-06-13,No
291,4269,2020-06-20,No
316,4039,2020-06-27,No
524,3889,2020-07-04,No
519,4130,2020-07-11,No
312,4192,2020-07-18,No
238,3940,2020-07-25,No
207,3667,2020-08-01,No
174,3165,2020-08-08,No
173,3089,2020-08-15,No
165,2885,2020-08-22,No
140,2846,2020-08-29,No
153,2719,2020-09-05,No
143,2650,2020-09-12,No
145,2563,2020-09-19,No
148,2534,2020-09-26,No
164,1948,2020-10-03,No
204,1637,2020-10-10,No
161,1505,2020-10-17,No
179,1438,2020-10-24,No
305,1410,2020-10-31,No
297,1361,2020-11-07,No
305,1410,2020-11-14,No
305,1400,2020-11-21,No
300,1365,2020-11-28,No
385,1434,2020-12-05,No
408,1542,2020-12-12,No
318,1563,2020-12-19,No
307,1515,2020-12-26,No
375,1641,2021-01-01,No
