initial_claims,continued_claims,week_ending,Appalachia
88,603,2020-01-04,No
115,637,2020-01-11,No
78,610,2020-01-18,No
96,610,2020-02-01,No
67,578,2020-02-08,No
74,593,2020-02-15,No
72,632,2020-02-22,No
79,603,2020-02-29,No
69,637,2020-03-07,No
59,626,2020-03-14,No
1562,610,2020-03-21,No
3311,1801,2020-03-28,No
2225,4755,2020-04-04,No
1761,6518,2020-04-11,No
1271,7600,2020-04-18,No
809,8384,2020-04-25,No
532,8366,2020-05-02,No
460,8046,2020-05-09,No
394,7721,2020-05-16,No
416,6658,2020-05-23,No
268,5460,2020-05-30,No
267,4873,2020-06-06,No
276,4269,2020-06-13,No
307,3920,2020-06-20,No
265,3601,2020-06-27,No
517,3466,2020-07-04,No
331,3764,2020-07-11,No
248,3589,2020-07-18,No
228,3355,2020-07-25,No
234,3161,2020-08-01,No
152,2826,2020-08-08,No
195,2731,2020-08-15,No
121,2510,2020-08-22,No
150,2430,2020-08-29,No
134,2384,2020-09-05,No
99,2323,2020-09-12,No
101,2217,2020-09-19,No
129,2197,2020-09-26,No
167,1728,2020-10-03,No
371,1458,2020-10-10,No
181,1491,2020-10-17,No
193,1445,2020-10-24,No
191,1268,2020-10-31,No
252,1168,2020-11-07,No
191,1268,2020-11-14,No
323,1194,2020-11-21,No
230,1095,2020-11-28,No
323,1267,2020-12-05,No
305,1220,2020-12-12,No
271,1229,2020-12-19,No
276,1224,2020-12-26,No
295,1389,2021-01-02,No
300,1663,2021-01-09,No
330,1609,2021-01-16,No
359,1633,2021-01-23,No
327,1257,2021-01-30,No
987,1302,2021-02-06,No
2469,1412,2021-02-13,No
