initial_claims,continued_claims,week_ending,Appalachia
122,757,2020-01-04,Yes
91,829,2020-01-11,Yes
60,780,2020-01-18,Yes
65,773,2020-02-01,Yes
54,803,2020-02-08,Yes
53,790,2020-02-15,Yes
115,752,2020-02-22,Yes
81,812,2020-02-29,Yes
41,747,2020-03-07,Yes
57,724,2020-03-14,Yes
1298,671,2020-03-21,Yes
2261,1654,2020-03-28,Yes
1470,3595,2020-04-04,Yes
912,4755,2020-04-11,Yes
624,5105,2020-04-18,Yes
632,5249,2020-04-25,Yes
402,5056,2020-05-02,Yes
289,4892,2020-05-09,Yes
269,4655,2020-05-16,Yes
240,4080,2020-05-23,Yes
220,3750,2020-05-30,Yes
273,3457,2020-06-06,Yes
168,3359,2020-06-13,Yes
209,3025,2020-06-20,Yes
264,2950,2020-06-27,Yes
198,2907,2020-07-04,Yes
225,2947,2020-07-11,Yes
197,2855,2020-07-18,Yes
142,2932,2020-07-25,Yes
208,2649,2020-08-01,Yes
162,2581,2020-08-08,Yes
163,2392,2020-08-15,Yes
113,2262,2020-08-22,Yes
118,2133,2020-08-29,Yes
104,2100,2020-09-05,Yes
98,1981,2020-09-12,Yes
104,2135,2020-09-19,Yes
111,1941,2020-09-26,Yes
213,1447,2020-10-03,Yes
220,1416,2020-10-10,Yes
125,1309,2020-10-17,Yes
114,1191,2020-10-24,Yes
131,1090,2020-10-31,Yes
184,1008,2020-11-07,Yes
131,1090,2020-11-14,Yes
305,1065,2020-11-21,Yes
281,1074,2020-11-28,Yes
386,1158,2020-12-05,Yes
328,1385,2020-12-12,Yes
300,1313,2020-12-19,Yes
251,1349,2020-12-26,Yes
279,1524,2021-01-02,Yes
265,1870,2021-01-09,Yes
267,1820,2021-01-16,Yes
339,1765,2021-01-23,Yes
293,1431,2021-01-30,Yes
815,1450,2021-02-06,Yes
657,1548,2021-02-13,Yes
