initial_claims,continued_claims,week_ending,Appalachia
24,162,2020-01-04,No
30,167,2020-01-11,No
15,165,2020-01-18,No
54,154,2020-02-01,No
18,184,2020-02-08,No
22,191,2020-02-15,No
13,197,2020-02-22,No
15,190,2020-02-29,No
16,209,2020-03-07,No
16,169,2020-03-14,No
611,194,2020-03-21,No
1508,633,2020-03-28,No
1166,2040,2020-04-04,No
1021,3004,2020-04-11,No
849,3709,2020-04-18,No
479,4248,2020-04-25,No
270,4313,2020-05-02,No
205,4142,2020-05-09,No
187,3875,2020-05-16,No
223,3142,2020-05-23,No
164,2463,2020-05-30,No
136,2178,2020-06-06,No
160,2069,2020-06-13,No
140,1803,2020-06-20,No
109,1669,2020-06-27,No
192,1542,2020-07-04,No
252,1675,2020-07-11,No
121,1564,2020-07-18,No
113,1450,2020-07-25,No
70,1244,2020-08-01,No
69,1157,2020-08-08,No
68,1036,2020-08-15,No
50,951,2020-08-22,No
41,871,2020-08-29,No
63,880,2020-09-05,No
62,828,2020-09-12,No
62,831,2020-09-19,No
54,754,2020-09-26,No
52,578,2020-10-03,No
68,479,2020-10-10,No
76,414,2020-10-17,No
69,416,2020-10-24,No
75,359,2020-10-31,No
89,373,2020-11-07,No
75,359,2020-11-14,No
101,380,2020-11-21,No
98,351,2020-11-28,No
90,347,2020-12-05,No
99,378,2020-12-12,No
89,348,2020-12-19,No
61,343,2020-12-26,No
82,388,2021-01-02,No
111,455,2021-01-09,No
94,443,2021-01-16,No
135,446,2021-01-23,No
