initial_claims,continued_claims,week_ending,Appalachia
50,359,2020-01-04,Yes
54,373,2020-01-11,Yes
31,376,2020-01-18,Yes
27,382,2020-02-01,Yes
28,357,2020-02-08,Yes
33,373,2020-02-15,Yes
19,354,2020-02-22,Yes
30,361,2020-02-29,Yes
28,343,2020-03-07,Yes
14,358,2020-03-14,Yes
480,317,2020-03-21,Yes
731,702,2020-03-28,Yes
610,1279,2020-04-04,Yes
540,1719,2020-04-11,Yes
376,2063,2020-04-18,Yes
226,2248,2020-04-25,Yes
181,2158,2020-05-02,Yes
167,2073,2020-05-09,Yes
137,2005,2020-05-16,Yes
104,1767,2020-05-23,Yes
105,1529,2020-05-30,Yes
88,1409,2020-06-06,Yes
83,1288,2020-06-13,Yes
89,1233,2020-06-20,Yes
89,1155,2020-06-27,Yes
71,1116,2020-07-04,Yes
127,1140,2020-07-11,Yes
106,1176,2020-07-18,Yes
66,1130,2020-07-25,Yes
66,1102,2020-08-01,Yes
48,994,2020-08-08,Yes
68,980,2020-08-15,Yes
41,1014,2020-08-22,Yes
45,930,2020-08-29,Yes
49,880,2020-09-05,Yes
40,852,2020-09-12,Yes
40,833,2020-09-19,Yes
45,816,2020-09-26,Yes
39,608,2020-10-03,Yes
59,531,2020-10-10,Yes
37,496,2020-10-17,Yes
50,458,2020-10-24,Yes
61,441,2020-10-31,Yes
60,449,2020-11-07,Yes
61,441,2020-11-14,Yes
86,489,2020-11-21,Yes
81,457,2020-11-28,Yes
98,521,2020-12-05,Yes
142,491,2020-12-12,Yes
102,480,2020-12-19,Yes
116,493,2020-12-26,Yes
81,581,2021-01-02,Yes
107,739,2021-01-09,Yes
115,684,2021-01-16,Yes
140,672,2021-01-23,Yes
119,554,2021-01-30,Yes
377,563,2021-02-06,Yes
366,601,2021-02-13,Yes
250,669,2021-02-20,Yes
212,710,2021-02-27,Yes
148,585,2021-03-06,Yes
148,552,2021-03-13,Yes
118,494,2021-03-20,Yes
109,494,2021-03-27,Yes
80,464,2021-04-03,Yes
51,391,2021-04-10,Yes
