initial_claims,continued_claims,week_ending,Appalachia
47,308,2020-01-04,Yes
53,269,2020-01-11,Yes
21,294,2020-01-18,Yes
45,378,2020-02-01,Yes
33,251,2020-02-08,Yes
20,308,2020-02-15,Yes
19,236,2020-02-22,Yes
53,296,2020-02-29,Yes
32,270,2020-03-07,Yes
29,297,2020-03-14,Yes
379,241,2020-03-21,Yes
660,545,2020-03-28,Yes
442,1131,2020-04-04,Yes
414,1494,2020-04-11,Yes
232,1681,2020-04-18,Yes
233,1742,2020-04-25,Yes
182,1664,2020-05-02,Yes
97,1540,2020-05-09,Yes
169,1477,2020-05-16,Yes
149,1415,2020-05-23,Yes
100,1342,2020-05-30,Yes
95,1183,2020-06-06,Yes
73,1038,2020-06-13,Yes
99,1011,2020-06-20,Yes
108,1002,2020-06-27,Yes
76,940,2020-07-04,Yes
89,915,2020-07-11,Yes
62,866,2020-07-18,Yes
56,899,2020-07-25,Yes
69,834,2020-08-01,Yes
66,833,2020-08-08,Yes
48,767,2020-08-15,Yes
28,736,2020-08-22,Yes
52,711,2020-08-29,Yes
50,640,2020-09-05,Yes
38,650,2020-09-12,Yes
61,632,2020-09-19,Yes
101,602,2020-09-26,Yes
58,505,2020-10-03,Yes
70,509,2020-10-10,Yes
47,415,2020-10-17,Yes
44,410,2020-10-24,Yes
42,343,2020-10-31,Yes
58,314,2020-11-07,Yes
42,343,2020-11-14,Yes
92,341,2020-11-21,Yes
90,328,2020-11-28,Yes
92,388,2020-12-05,Yes
82,413,2020-12-12,Yes
82,360,2020-12-19,Yes
77,378,2020-12-26,Yes
66,460,2021-01-02,Yes
85,520,2021-01-09,Yes
78,480,2021-01-16,Yes
84,497,2021-01-23,Yes
101,410,2021-01-30,Yes
182,407,2021-02-06,Yes
171,435,2021-02-13,Yes
174,419,2021-02-20,Yes
118,449,2021-02-27,Yes
82,434,2021-03-06,Yes
89,412,2021-03-13,Yes
91,389,2021-03-20,Yes
63,356,2021-03-27,Yes
65,318,2021-04-03,Yes
38,315,2021-04-10,Yes
34,264,2021-04-17,Yes
31,252,2021-04-24,Yes
38,256,2021-05-01,Yes
51,244,2021-05-08,Yes
36,260,2021-05-15,Yes
23,222,2021-05-22,Yes
23,204,2021-05-29,Yes
30,203,2021-06-05,Yes
22,187,2021-06-12,Yes
