initial_claims,continued_claims,week_ending,Appalachia
119,794,2020-01-04,No
186,864,2020-01-11,No
84,906,2020-01-18,No
116,822,2020-02-01,No
67,864,2020-02-08,No
65,851,2020-02-15,No
36,846,2020-02-22,No
60,794,2020-02-29,No
54,825,2020-03-07,No
70,794,2020-03-14,No
1992,777,2020-03-21,No
3409,2190,2020-03-28,No
2387,5244,2020-04-04,No
2060,7179,2020-04-11,No
1378,8543,2020-04-18,No
1019,9270,2020-04-25,No
620,9315,2020-05-02,No
487,9054,2020-05-09,No
405,8595,2020-05-16,No
410,7147,2020-05-23,No
312,5839,2020-05-30,No
501,5842,2020-06-06,No
464,5368,2020-06-13,No
359,4825,2020-06-20,No
338,4339,2020-06-27,No
360,4301,2020-07-04,No
382,4213,2020-07-11,No
280,4136,2020-07-18,No
275,4101,2020-07-25,No
218,3883,2020-08-01,No
198,3626,2020-08-08,No
221,3466,2020-08-15,No
174,3250,2020-08-22,No
154,3173,2020-08-29,No
151,3079,2020-09-05,No
141,2930,2020-09-12,No
141,2891,2020-09-19,No
139,2726,2020-09-26,No
165,2103,2020-10-03,No
202,1968,2020-10-10,No
172,1599,2020-10-17,No
158,1548,2020-10-24,No
538,1587,2020-10-31,No
220,1421,2020-11-07,No
538,1587,2020-11-14,No
938,1479,2020-11-21,No
279,1421,2020-11-28,No
347,1424,2020-12-05,No
363,1518,2020-12-12,No
275,1476,2020-12-19,No
244,1436,2020-12-26,No
292,1561,2021-01-02,No
347,2023,2021-01-09,No
395,2006,2021-01-16,No
530,1990,2021-01-23,No
437,1467,2021-01-30,No
1447,1520,2021-02-06,No
1744,1670,2021-02-13,No
