initial_claims,continued_claims,week_ending,Appalachia
38,221,2020-01-04,No
29,238,2020-01-11,No
24,224,2020-01-18,No
13,227,2020-02-01,No
22,224,2020-02-08,No
19,227,2020-02-15,No
11,230,2020-02-22,No
19,235,2020-02-29,No
15,222,2020-03-07,No
21,215,2020-03-14,No
493,226,2020-03-21,No
654,564,2020-03-28,No
694,1159,2020-04-04,No
868,1643,2020-04-11,No
380,2307,2020-04-18,No
246,2513,2020-04-25,No
169,2453,2020-05-02,No
137,2428,2020-05-09,No
125,2246,2020-05-16,No
125,2002,2020-05-23,No
100,1678,2020-05-30,No
86,1589,2020-06-06,No
105,1452,2020-06-13,No
132,1378,2020-06-20,No
78,1244,2020-06-27,No
77,1198,2020-07-04,No
81,1169,2020-07-11,No
74,1160,2020-07-18,No
51,1127,2020-07-25,No
62,1052,2020-08-01,No
39,1035,2020-08-08,No
43,1034,2020-08-15,No
39,890,2020-08-22,No
55,910,2020-08-29,No
52,844,2020-09-05,No
39,857,2020-09-12,No
33,850,2020-09-19,No
33,790,2020-09-26,No
35,641,2020-10-03,No
48,535,2020-10-10,No
51,501,2020-10-17,No
40,428,2020-10-24,No
48,427,2020-10-31,No
71,381,2020-11-07,No
48,427,2020-11-14,No
67,393,2020-11-21,No
74,408,2020-11-28,No
94,390,2020-12-05,No
94,433,2020-12-12,No
100,470,2020-12-19,No
107,485,2020-12-26,No
82,569,2021-01-02,No
98,661,2021-01-09,No
116,631,2021-01-16,No
132,654,2021-01-23,No
129,475,2021-01-30,No
423,520,2021-02-06,No
2121,534,2021-02-13,No
398,930,2021-02-20,No
195,950,2021-02-27,No
171,894,2021-03-06,No
121,489,2021-03-13,No
142,451,2021-03-20,No
157,440,2021-03-27,No
58,425,2021-04-03,No
48,326,2021-04-10,No
36,349,2021-04-17,No
35,264,2021-04-24,No
49,260,2021-05-01,No
38,277,2021-05-08,No
56,255,2021-05-15,No
25,215,2021-05-22,No
37,191,2021-05-29,No
35,225,2021-06-05,No
54,203,2021-06-12,No
