initial_claims,continued_claims,week_ending,Appalachia
107,419,2020-01-04,Yes
37,426,2020-01-11,Yes
46,280,2020-01-18,Yes
28,290,2020-02-01,Yes
26,271,2020-02-08,Yes
21,286,2020-02-15,Yes
48,260,2020-02-22,Yes
37,298,2020-02-29,Yes
23,299,2020-03-07,Yes
14,293,2020-03-14,Yes
411,282,2020-03-21,Yes
661,599,2020-03-28,Yes
464,1198,2020-04-04,Yes
383,1556,2020-04-11,Yes
215,1723,2020-04-18,Yes
230,1814,2020-04-25,Yes
126,1817,2020-05-02,Yes
124,1715,2020-05-09,Yes
205,1541,2020-05-16,Yes
97,1417,2020-05-23,Yes
109,1205,2020-05-30,Yes
101,1170,2020-06-06,Yes
169,1104,2020-06-13,Yes
88,1095,2020-06-20,Yes
97,980,2020-06-27,Yes
88,900,2020-07-04,Yes
101,928,2020-07-11,Yes
103,953,2020-07-18,Yes
64,935,2020-07-25,Yes
54,843,2020-08-01,Yes
52,862,2020-08-08,Yes
55,719,2020-08-15,Yes
32,744,2020-08-22,Yes
27,694,2020-08-29,Yes
40,690,2020-09-05,Yes
39,666,2020-09-12,Yes
37,623,2020-09-19,Yes
36,589,2020-09-26,Yes
51,403,2020-10-03,Yes
77,392,2020-10-10,Yes
41,366,2020-10-17,Yes
43,379,2020-10-24,Yes
64,345,2020-10-31,Yes
74,377,2020-11-07,Yes
64,345,2020-11-14,Yes
78,427,2020-11-21,Yes
163,413,2020-11-28,Yes
93,463,2020-12-05,Yes
97,493,2020-12-12,Yes
86,405,2020-12-19,Yes
154,410,2020-12-26,Yes
180,546,2021-01-02,Yes
108,644,2021-01-09,Yes
91,531,2021-01-16,Yes
150,489,2021-01-23,Yes
