initial_claims,continued_claims,week_ending,Appalachia
845,7113,2020-01-04,No
991,7481,2020-01-11,No
853,7314,2020-01-18,No
721,7439,2020-02-01,No
682,7392,2020-02-08,No
645,7424,2020-02-15,No
528,7402,2020-02-22,No
608,7397,2020-02-29,No
661,7211,2020-03-07,No
919,7308,2020-03-14,No
24883,7438,2020-03-21,No
25773,26137,2020-03-28,No
22968,48325,2020-04-04,No
15154,65636,2020-04-11,No
10728,74719,2020-04-18,No
9887,80515,2020-04-25,No
6912,79071,2020-05-02,No
5649,78697,2020-05-09,No
5277,75589,2020-05-16,No
5013,70616,2020-05-23,No
4087,66105,2020-05-30,No
4834,64397,2020-06-06,No
4838,62726,2020-06-13,No
5057,61212,2020-06-20,No
4992,60755,2020-06-27,No
4237,59393,2020-07-04,No
4332,59626,2020-07-11,No
4034,59552,2020-07-18,No
3613,60235,2020-07-25,No
3243,57872,2020-08-01,No
2727,53819,2020-08-08,No
2614,52231,2020-08-15,No
2345,50129,2020-08-22,No
2227,48789,2020-08-29,No
2235,47046,2020-09-05,No
1951,46282,2020-09-12,No
2237,46090,2020-09-19,No
2337,44312,2020-09-26,No
2328,33649,2020-10-03,No
2388,30181,2020-10-10,No
2097,26547,2020-10-17,No
1933,24439,2020-10-24,No
2256,23789,2020-10-31,No
2817,21073,2020-11-07,No
2256,23789,2020-11-14,No
3429,21213,2020-11-21,No
2903,20229,2020-11-28,No
4115,20607,2020-12-05,No
4807,21375,2020-12-12,No
3534,20979,2020-12-19,No
2919,20530,2020-12-26,No
3071,22429,2021-01-02,No
4136,28073,2021-01-09,No
5136,28215,2021-01-16,No
5947,28255,2021-01-23,No
5996,20179,2021-01-30,No
20277,20663,2021-02-06,No
24154,22138,2021-02-13,No
