initial_claims,continued_claims,week_ending,Appalachia
37,268,2020-01-04,No
37,295,2020-01-11,No
27,284,2020-01-18,No
23,297,2020-02-01,No
25,290,2020-02-08,No
21,285,2020-02-15,No
24,293,2020-02-22,No
20,276,2020-02-29,No
17,300,2020-03-07,No
15,288,2020-03-14,No
490,280,2020-03-21,No
1500,614,2020-03-28,No
1219,1965,2020-04-04,No
842,2987,2020-04-11,No
393,3507,2020-04-18,No
351,3671,2020-04-25,No
276,3409,2020-05-02,No
350,3046,2020-05-09,No
219,2915,2020-05-16,No
226,2538,2020-05-23,No
350,2092,2020-05-30,No
176,1858,2020-06-06,No
138,1599,2020-06-13,No
154,1487,2020-06-20,No
140,1295,2020-06-27,No
147,1156,2020-07-04,No
219,1530,2020-07-11,No
154,1239,2020-07-18,No
106,1090,2020-07-25,No
88,996,2020-08-01,No
61,887,2020-08-08,No
65,870,2020-08-15,No
71,838,2020-08-22,No
65,817,2020-08-29,No
69,785,2020-09-05,No
61,716,2020-09-12,No
54,728,2020-09-19,No
82,692,2020-09-26,No
65,573,2020-10-03,No
58,500,2020-10-10,No
55,398,2020-10-17,No
59,361,2020-10-24,No
86,409,2020-10-31,No
85,372,2020-11-07,No
86,409,2020-11-14,No
89,388,2020-11-21,No
107,391,2020-11-28,No
165,441,2020-12-05,No
149,425,2020-12-12,No
127,462,2020-12-19,No
158,436,2020-12-26,No
189,574,2021-01-02,No
162,647,2021-01-09,No
165,599,2021-01-16,No
182,614,2021-01-23,No
