initial_claims,continued_claims,week_ending,Appalachia
37,265,2020-01-04,No
31,264,2020-01-11,No
27,175,2020-01-18,No
30,152,2020-02-01,No
18,162,2020-02-08,No
52,139,2020-02-15,No
26,168,2020-02-22,No
17,182,2020-02-29,No
23,176,2020-03-07,No
20,168,2020-03-14,No
429,176,2020-03-21,No
1666,498,2020-03-28,No
887,1990,2020-04-04,No
565,2727,2020-04-11,No
332,3009,2020-04-18,No
306,3112,2020-04-25,No
197,3050,2020-05-02,No
154,2797,2020-05-09,No
129,2506,2020-05-16,No
141,2137,2020-05-23,No
129,1806,2020-05-30,No
105,1573,2020-06-06,No
82,1365,2020-06-13,No
88,1167,2020-06-20,No
119,1078,2020-06-27,No
172,1020,2020-07-04,No
130,1161,2020-07-11,No
106,1012,2020-07-18,No
90,1000,2020-07-25,No
64,878,2020-08-01,No
61,798,2020-08-08,No
69,735,2020-08-15,No
58,695,2020-08-22,No
69,706,2020-08-29,No
37,625,2020-09-05,No
48,593,2020-09-12,No
36,581,2020-09-19,No
60,586,2020-09-26,No
41,419,2020-10-03,No
45,385,2020-10-10,No
46,304,2020-10-17,No
65,295,2020-10-24,No
69,299,2020-10-31,No
87,311,2020-11-07,No
69,299,2020-11-14,No
99,339,2020-11-21,No
112,371,2020-11-28,No
116,407,2020-12-05,No
105,445,2020-12-12,No
110,375,2020-12-19,No
84,376,2020-12-26,No
116,424,2021-01-02,No
108,524,2021-01-09,No
125,461,2021-01-16,No
143,482,2021-01-23,No
116,395,2021-01-30,No
311,430,2021-02-06,No
