initial_claims,continued_claims,week_ending,Appalachia
68,560,2020-01-04,No
77,582,2020-01-11,No
61,584,2020-01-18,No
50,573,2020-02-01,No
60,571,2020-02-08,No
53,598,2020-02-15,No
38,565,2020-02-22,No
40,580,2020-02-29,No
45,551,2020-03-07,No
76,544,2020-03-14,No
2901,572,2020-03-21,No
2935,2597,2020-03-28,No
2748,4976,2020-04-04,No
2167,7076,2020-04-11,No
1562,8607,2020-04-18,No
1392,9402,2020-04-25,No
720,9335,2020-05-02,No
548,9079,2020-05-09,No
539,8294,2020-05-16,No
482,7267,2020-05-23,No
405,6346,2020-05-30,No
370,5961,2020-06-06,No
306,5361,2020-06-13,No
382,5107,2020-06-20,No
348,4916,2020-06-27,No
289,4574,2020-07-04,No
335,4600,2020-07-11,No
239,4598,2020-07-18,No
228,4667,2020-07-25,No
259,4435,2020-08-01,No
191,4068,2020-08-08,No
203,3886,2020-08-15,No
189,3778,2020-08-22,No
159,3541,2020-08-29,No
155,3456,2020-09-05,No
129,3301,2020-09-12,No
164,3261,2020-09-19,No
181,3069,2020-09-26,No
169,2386,2020-10-03,No
241,2018,2020-10-10,No
166,1862,2020-10-17,No
147,1629,2020-10-24,No
197,1681,2020-10-31,No
354,1448,2020-11-07,No
197,1681,2020-11-14,No
319,1579,2020-11-21,No
295,1453,2020-11-28,No
409,1553,2020-12-05,No
418,1543,2020-12-12,No
363,1574,2020-12-19,No
259,1570,2020-12-26,No
296,1671,2021-01-02,No
528,2154,2021-01-09,No
745,2139,2021-01-16,No
829,2319,2021-01-23,No
851,1859,2021-01-30,No
2002,1916,2021-02-06,No
2172,2060,2021-02-13,No
