initial_claims,continued_claims,week_ending,Appalachia
28,145,2020-01-04,No
11,167,2020-01-11,No
9,158,2020-01-18,No
8,151,2020-02-01,No
12,135,2020-02-08,No
7,148,2020-02-15,No
7,132,2020-02-22,No
5,143,2020-02-29,No
35,130,2020-03-07,No
26,162,2020-03-14,No
316,161,2020-03-21,No
651,425,2020-03-28,No
617,946,2020-04-04,No
468,1497,2020-04-11,No
232,1757,2020-04-18,No
216,1901,2020-04-25,No
127,1870,2020-05-02,No
101,1858,2020-05-09,No
87,1772,2020-05-16,No
91,1461,2020-05-23,No
68,1290,2020-05-30,No
62,1097,2020-06-06,No
47,957,2020-06-13,No
55,949,2020-06-20,No
48,873,2020-06-27,No
42,836,2020-07-04,No
45,845,2020-07-11,No
32,824,2020-07-18,No
41,837,2020-07-25,No
38,777,2020-08-01,No
43,743,2020-08-08,No
50,745,2020-08-15,No
33,757,2020-08-22,No
26,661,2020-08-29,No
33,669,2020-09-05,No
29,651,2020-09-12,No
28,630,2020-09-19,No
21,586,2020-09-26,No
39,440,2020-10-03,No
42,342,2020-10-10,No
32,306,2020-10-17,No
34,289,2020-10-24,No
31,268,2020-10-31,No
51,259,2020-11-07,No
31,268,2020-11-14,No
56,258,2020-11-21,No
38,287,2020-11-28,No
78,249,2020-12-05,No
57,273,2020-12-12,No
54,261,2020-12-19,No
72,270,2020-12-26,No
81,320,2021-01-02,No
57,501,2021-01-09,No
72,430,2021-01-16,No
80,444,2021-01-23,No
85,343,2021-01-30,No
253,335,2021-02-06,No
406,375,2021-02-13,No
243,426,2021-02-20,No
246,446,2021-02-27,No
290,412,2021-03-06,No
173,452,2021-03-13,No
119,425,2021-03-20,No
118,369,2021-03-27,No
102,355,2021-04-03,No
54,326,2021-04-10,No
40,261,2021-04-17,No
30,242,2021-04-24,No
35,204,2021-05-01,No
38,213,2021-05-08,No
46,204,2021-05-15,No
18,221,2021-05-22,No
24,209,2021-05-29,No
26,177,2021-06-05,No
30,189,2021-06-12,No
