initial_claims,continued_claims,week_ending,Appalachia
64,513,2020-01-04,No
63,542,2020-01-11,No
40,568,2020-01-18,No
37,566,2020-02-01,No
23,544,2020-02-08,No
48,566,2020-02-15,No
26,532,2020-02-22,No
28,566,2020-02-29,No
33,514,2020-03-07,No
48,559,2020-03-14,No
1347,532,2020-03-21,No
1442,1567,2020-03-28,No
1244,2711,2020-04-04,No
746,3629,2020-04-11,No
502,4026,2020-04-18,No
499,4342,2020-04-25,No
342,3996,2020-05-02,No
216,3952,2020-05-09,No
253,3532,2020-05-16,No
232,3226,2020-05-23,No
158,2755,2020-05-30,No
175,2652,2020-06-06,No
158,2403,2020-06-13,No
198,2359,2020-06-20,No
186,2139,2020-06-27,No
157,2185,2020-07-04,No
142,2096,2020-07-11,No
155,2081,2020-07-18,No
148,2168,2020-07-25,No
156,2151,2020-08-01,No
107,1809,2020-08-08,No
108,1813,2020-08-15,No
93,1677,2020-08-22,No
79,1656,2020-08-29,No
77,1586,2020-09-05,No
73,1484,2020-09-12,No
82,1468,2020-09-19,No
84,1439,2020-09-26,No
82,1071,2020-10-03,No
95,963,2020-10-10,No
103,814,2020-10-17,No
89,770,2020-10-24,No
95,767,2020-10-31,No
140,754,2020-11-07,No
95,767,2020-11-14,No
193,745,2020-11-21,No
172,746,2020-11-28,No
222,804,2020-12-05,No
214,970,2020-12-12,No
170,878,2020-12-19,No
165,941,2020-12-26,No
198,1074,2021-01-02,No
271,1297,2021-01-09,No
247,1370,2021-01-16,No
280,1330,2021-01-23,No
316,1071,2021-01-30,No
719,1066,2021-02-06,No
