initial_claims,continued_claims,week_ending,Appalachia
486,3163,2020-01-04,No
481,3514,2020-01-11,No
380,3100,2020-01-18,No
321,3039,2020-02-01,No
401,2981,2020-02-08,No
330,3084,2020-02-15,No
337,3122,2020-02-22,No
289,3044,2020-02-29,No
324,3043,2020-03-07,No
412,2997,2020-03-14,No
13053,3089,2020-03-21,No
14075,12340,2020-03-28,No
14743,24338,2020-04-04,No
9410,35079,2020-04-11,No
6821,41647,2020-04-18,No
5737,45320,2020-04-25,No
4192,44601,2020-05-02,No
3706,44542,2020-05-09,No
3049,43198,2020-05-16,No
2668,40465,2020-05-23,No
2196,36885,2020-05-30,No
2439,35837,2020-06-06,No
2275,34281,2020-06-13,No
2493,33293,2020-06-20,No
2534,32888,2020-06-27,No
2299,32145,2020-07-04,No
2375,31563,2020-07-11,No
1975,31106,2020-07-18,No
1828,30887,2020-07-25,No
1748,30098,2020-08-01,No
1349,27712,2020-08-08,No
1430,27042,2020-08-15,No
1215,26066,2020-08-22,No
1122,25443,2020-08-29,No
1119,24227,2020-09-05,No
1035,23559,2020-09-12,No
1066,23662,2020-09-19,No
1206,22287,2020-09-26,No
1226,17618,2020-10-03,No
1307,15432,2020-10-10,No
1074,13526,2020-10-17,No
1065,12469,2020-10-24,No
1275,12118,2020-10-31,No
1444,10392,2020-11-07,No
1275,12118,2020-11-14,No
1703,10526,2020-11-21,No
1650,9839,2020-11-28,No
2172,10379,2020-12-05,No
2674,10525,2020-12-12,No
1992,10221,2020-12-19,No
1907,10043,2020-12-26,No
1830,11050,2021-01-02,No
2458,13826,2021-01-09,No
2921,13464,2021-01-16,No
3238,13559,2021-01-23,No
3261,10129,2021-01-30,No
9441,10126,2021-02-06,No
